Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
1991:Q4,GenX,358691,198078,106927,91151,160613,50131,2819,13109,9553,3556,0,0,0,16758,9958,1093,8107,28234,22889,7514,137214,136837,63754,72393,26,664,377,221477,7933834
1991:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992:Q1,Silent,19188168,5851999,4721581,1130418,13336169,2282198,334267,987813,811230,176583,376268,246848,129420,2203005,258786,339252,585469,3571531,2244763,152817,1414127,1404628,1004395,273777,1184,125271,9499,17774041,47030249
1992:Q1,BabyBoom,7073666,3460188,2557743,902445,3613478,547769,125090,221348,177934,43414,57941,48516,9425,590315,164460,91768,298351,642851,769169,104418,2117557,2111459,1628861,444487,867,37244,6098,4956109,40038735
1992:Q1,GenX,369538,214563,115222,99341,154975,43402,3894,14750,10450,4301,0,0,0,10366,11141,894,5694,33394,23170,8270,151344,150936,75020,75090,37,789,408,218194,8363508
1992:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992:Q2,Silent,19258420,5873551,4744636,1128915,13384869,2257968,321881,974272,794212,180061,379990,252087,127903,2219726,260738,345376,596200,3634370,2240258,154091,1428352,1418905,1021912,268680,1536,126777,9447,17830068,46701537
1992:Q2,BabyBoom,7155882,3498377,2582193,916184,3657505,542570,119574,214832,172641,42191,61023,51687,9336,584198,166104,97141,303986,694501,766732,106845,2127423,2121327,1634829,442836,1079,42583,6095,5028459,40160909
1992:Q2,GenX,379746,229346,121225,108122,150400,46208,2827,16749,11660,5088,27,0,27,6920,12173,1135,5729,25663,23847,9123,166668,166221,84502,80816,59,844,447,213078,8812171
1992:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992:Q3,Silent,19424612,5888027,4747600,1140427,13536585,2241927,314500,981145,809036,172109,383556,257331,126225,2291679,264638,351437,611609,3697383,2243322,155389,1437692,1428278,1033808,266005,927,127538,9414,17986919,46350486
1992:Q3,BabyBoom,7402839,3595647,2677045,918601,3807193,548369,118690,222284,183574,38710,58967,49722,9245,638744,170375,100993,320730,746201,772450,109388,2166035,2159921,1669211,446779,625,43307,6114,5236804,40288723
1992:Q3,GenX,413080,252038,139343,112696,161042,51253,2191,18555,12722,5832,217,32,185,12154,13753,1254,9119,16895,25598,10052,183496,183001,92860,89149,41,951,495,229584,9278273
1992:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992:Q4,Silent,19613869,5878856,4734942,1143914,13735013,2238128,312097,985858,808922,176936,389533,266718,122815,2477579,264794,352397,612427,3717200,2229235,155765,1439131,1429828,1032529,266794,1308,129198,9303,18174738,45979805
1992:Q4,BabyBoom,7820755,3686594,2759819,926775,4134161,578194,107251,222127,181707,40420,56502,46039,10463,801774,176633,119765,349471,832862,777458,112124,2210876,2204628,1701087,460407,934,42201,6249,5609878,40421283
1992:Q4,GenX,478021,280221,157442,122779,197800,57708,914,18651,12691,5960,320,148,172,32991,15914,2292,12196,22156,23573,11086,206567,206009,107286,97569,69,1085,558,271454,9760183
1992:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993:Q1,Silent,19711587,5875304,4756211,1119092,13836283,2196193,320616,1004501,795230,209272,396256,276690,119565,2554162,264612,353489,619261,3735631,2235966,155596,1422673,1413471,1023733,255884,2155,131699,9201,18288914,45593293
1993:Q1,BabyBoom,8016097,3705839,2758152,947687,4310259,554528,106849,220345,173236,47110,69391,57688,11703,852551,182696,130973,391608,879748,806990,114580,2219634,2213237,1712609,451785,1623,47220,6397,5796464,40557081
1993:Q1,GenX,511644,295577,155741,139835,216067,53181,1102,19145,12774,6371,177,28,149,37221,18194,2678,20114,27235,24905,12113,219880,219250,118363,99593,137,1157,630,291764,10255951
1993:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993:Q2,Silent,19776948,5890274,4761887,1128387,13886674,2178349,321413,995707,767852,227855,403835,287603,116232,2599453,264687,354564,618801,3753889,2240937,155040,1418776,1409680,1021382,253053,1930,133315,9096,18358172,45195024
1993:Q2,BabyBoom,8258646,3805750,2848785,956965,4452897,564340,97891,210397,159010,51387,80067,67104,12963,872969,189284,142715,415786,926822,835785,116840,2264906,2258360,1751989,458842,1547,45983,6545,5993741,40694454
1993:Q2,GenX,550101,320510,169415,151094,229591,55408,0,19464,12962,6502,129,0,129,36440,20744,3142,22387,32733,25997,13146,243900,243193,134974,106767,141,1311,707,306200,10763548
1993:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993:Q3,Silent,19908564,5904910,4765172,1139738,14003654,2165105,324546,993530,741356,252174,407857,295018,112840,2694627,264813,355472,619821,3772106,2250694,155082,1413099,1404112,1012363,253439,2203,136107,8987,18495465,44789070
1993:Q3,BabyBoom,8568197,3910001,2945378,964623,4658196,580822,91518,203108,146365,56743,73000,58759,14241,945650,196109,158136,442846,975934,871533,119540,2332168,2325475,1797503,472549,1871,53552,6693,6236029,40831741
1993:Q3,GenX,605620,347176,185469,161707,258443,59154,0,19713,13109,6605,248,136,111,44678,23516,4027,25899,38690,28179,14338,267683,266895,148666,116680,187,1361,788,337937,11280946
1993:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993:Q4,Silent,20084344,5924951,4780079,1144872,14159393,2146448,333744,1037252,745007,292245,412674,303233,109440,2788702,264871,356806,618466,3790235,2256234,153961,1414464,1405589,1005849,258999,2185,138556,8875,18669879,44379506
1993:Q4,BabyBoom,8866892,4007460,3026833,980627,4859432,588768,91539,211928,146942,64987,72585,57049,15536,1018552,202980,165038,463354,1019856,903330,121502,2393629,2386788,1829216,496895,1971,58705,6841,6473264,40967279
1993:Q4,GenX,658743,376579,199831,176749,282164,60900,0,19866,13039,6827,328,234,94,53435,26474,4024,27178,44994,29573,15394,297419,296544,164611,130275,213,1446,875,361324,11806113
1993:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994:Q1,Silent,20128482,5948918,4816044,1132874,14179564,2123226,344962,1091843,783483,308361,417410,311233,106177,2734965,263480,358291,614421,3808564,2268847,153554,1396616,1387848,992449,252194,2965,140240,8768,18731866,43970405
1994:Q1,BabyBoom,8973523,4062178,3063613,998565,4911345,588607,93822,231664,162655,69010,72629,55778,16851,935487,208061,170618,476287,1065430,944785,123954,2425386,2418393,1861391,495889,2824,58289,6993,6548136,41099405
1994:Q1,GenX,669212,397431,202713,194718,271781,60465,0,19144,12541,6604,397,331,66,32049,29183,3850,25544,51762,32764,16623,314826,313857,176113,135793,338,1613,968,354386,12337021
1994:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994:Q2,Silent,20217301,5978957,4842657,1136300,14238344,2094637,347160,1153836,829021,324815,419845,317079,102766,2719294,262311,360169,616068,3827164,2285212,152651,1398303,1389641,988731,255048,3841,142022,8662,18818998,43565840
1994:Q2,BabyBoom,9132349,4148752,3135767,1012985,4983598,577941,85698,256023,182877,73146,66948,48775,18173,884249,213459,171013,502607,1107832,991752,126075,2475113,2467966,1890661,515067,3854,58383,7147,6657236,41226457
1994:Q2,GenX,690432,422369,212039,210329,268063,56919,0,17831,11579,6252,587,539,48,14464,32115,3021,29233,58912,37171,17811,347553,346485,195724,148465,512,1784,1068,342879,12871640
1994:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994:Q3,Silent,20312071,5968633,4819349,1149284,14343438,2082491,356771,1170312,836785,333527,422541,323220,99321,2770101,265200,361810,621021,3846294,2294082,152815,1399252,1390699,983902,259226,3968,143604,8553,18912819,43169886
1994:Q3,BabyBoom,9423848,4259679,3235952,1023727,5164169,593299,85934,261122,185202,75921,63638,44139,19499,908868,224187,177996,536748,1153410,1030064,128903,2527768,2520473,1922224,537557,4222,56470,7295,6896080,41346772
1994:Q3,GenX,752823,461843,238340,223503,290980,60094,0,16747,11141,5606,747,714,33,11799,36550,2938,36480,66552,39825,19248,382356,381186,215418,163170,601,1996,1170,370467,13407942
1994:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994:Q4,Silent,20406311,5935759,4783256,1152503,14470552,2069024,370965,1271851,909242,362609,424975,329480,95495,2771016,263487,364155,614211,3866032,2302472,152365,1407890,1399446,980402,267828,4853,146362,8444,18998422,42786615
1994:Q4,BabyBoom,9612840,4344542,3310615,1033928,5268297,605352,91868,304352,221915,82437,61545,40745,20800,871155,228826,175298,539301,1191273,1068039,131288,2596720,2589279,1949035,570527,5432,64285,7441,7016120,41458689
1994:Q4,GenX,792049,505631,267926,237705,286418,62358,312,13787,8593,5194,925,875,50,0,39626,1583,30365,74478,42375,20609,424008,422731,237006,182813,850,2062,1277,368041,13943896
1994:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995:Q1,Silent,20527377,5909553,4752616,1156937,14617824,2063807,384096,1254213,878353,375860,428567,336454,92113,2886571,264285,365940,623688,3886758,2306227,153673,1392786,1384436,968873,262600,5240,147723,8350,19134591,42420100
1995:Q1,BabyBoom,9957143,4419962,3370962,1049000,5537180,630960,97273,288847,202763,86084,61766,39642,22124,974882,236676,185062,583580,1243225,1100073,134836,2617971,2610373,1972511,571954,6194,59714,7598,7339171,41560544
1995:Q1,GenX,877753,546384,291625,254758,331370,68696,1648,13543,9252,4292,1031,997,34,9381,43703,1793,42682,83086,43428,22379,445819,444424,251052,189992,1043,2338,1395,431934,14477472
1995:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995:Q2,Silent,20661314,5862808,4693574,1169234,14798506,2063602,400293,1239745,871591,368155,431242,342539,88703,3005313,266294,367114,632510,3925521,2311886,154986,1388886,1380625,959347,265463,6142,149673,8261,19272429,42074416
1995:Q2,BabyBoom,10385599,4528861,3477736,1051125,5856738,664623,106953,283009,197119,85890,60141,36705,23436,1084381,245984,206003,625693,1307556,1134058,138337,2679071,2671318,2012312,591759,7619,59628,7754,7706528,41650675
1995:Q2,GenX,967412,600970,336998,263972,366442,77851,3927,11641,9050,2591,1184,1162,22,27114,48365,3565,54821,68966,44805,24203,478550,477032,267177,205904,1401,2549,1518,488862,15006643
1995:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995:Q3,Silent,20749753,5718470,4543258,1175212,15031283,2050551,410773,1260715,867668,393047,433519,348210,85309,3151610,265877,368942,645303,3966686,2324823,152485,1393777,1385602,956018,270049,6910,152625,8175,19355976,41753636
1995:Q3,BabyBoom,10718359,4538469,3483637,1054833,6179890,673329,108526,284532,192894,91638,57946,33214,24732,1224273,251867,219071,678281,1366271,1176686,139107,2745764,2737858,2044681,615641,8995,68540,7906,7972595,41727420
1995:Q3,GenX,1066840,661222,386242,274979,405618,79400,4666,10269,8736,1534,1357,1345,12,53494,52251,4325,72853,53391,48415,25197,519590,517944,289639,223909,1792,2604,1646,547250,15529378
1995:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995:Q4,Silent,21026327,5738305,4561212,1177093,15288022,2041809,425314,1298124,863897,434226,444627,360109,84517,3313450,263130,371035,660711,3998775,2318585,152464,1406972,1398925,951665,282581,9287,155392,8047,19619354,41460467
1995:Q4,BabyBoom,11136786,4600648,3531436,1069211,6536138,695001,119163,299133,196275,102858,64908,41209,23699,1370742,263308,225151,726493,1411720,1219059,141458,2794244,2786075,2071145,639295,12602,63033,8169,8342542,41789886
1995:Q4,GenX,1146386,679601,396600,283002,466785,86046,5265,13384,9826,3558,2538,2522,16,81562,53767,4905,78274,55866,58877,26302,551242,549536,297698,246284,2541,3013,1706,595144,16044046
1995:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996:Q1,Silent,21219310,5798558,4618024,1180534,15420752,2045598,448846,1266153,826388,439766,452325,368686,83638,3410246,258522,373309,675253,4032618,2306720,151162,1409375,1401455,953553,281086,6266,160551,7920,19809934,41192149
1996:Q1,BabyBoom,11452819,4655915,3567694,1088221,6796904,735373,143715,290292,182968,107323,64971,42344,22627,1439741,272020,231547,773440,1450340,1252644,142822,2838864,2830441,2112841,628895,9358,79347,8423,8613955,41840260
1996:Q1,GenX,1213676,698633,404944,293688,515043,99423,8958,16482,11992,4490,4100,4066,35,90605,54405,5562,82788,58196,67450,27074,571056,569295,312466,252226,1588,3015,1761,642620,16550614
1996:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996:Q2,Silent,21441431,5838876,4653392,1185484,15602555,2031812,450299,1313073,856432,456641,456240,373562,82678,3517045,255466,375902,685674,4068076,2298897,150071,1428741,1420937,960385,288391,8372,163790,7804,20012690,40944558
1996:Q2,BabyBoom,11735180,4724310,3628159,1096151,7010870,742060,135112,316009,202183,113825,52098,30577,21521,1518448,282545,236067,807618,1486755,1289900,144257,2878180,2869501,2139183,639750,12948,77620,8679,8857000,41881500
1996:Q2,GenX,1257032,716438,419257,297181,540594,101621,5123,17894,12125,5769,6269,6202,67,102571,55531,5955,79707,60484,77577,27861,608500,606681,332641,268439,2229,3373,1819,648532,17049448
1996:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996:Q3,Silent,21564860,5879213,4686945,1192267,15685647,2026078,462998,1307457,872261,435196,462064,380374,81689,3549133,254890,378784,698281,4104985,2290827,150150,1447747,1440056,968574,295415,9021,167046,7690,20117113,40713566
1996:Q3,BabyBoom,11953941,4792804,3683427,1109377,7161137,760350,143668,327877,214903,112975,40788,20398,20390,1511949,296066,238718,849424,1520083,1325757,146457,2915081,2906150,2166249,649857,14635,75410,8931,9038860,41916562
1996:Q3,GenX,1296212,741251,437720,303531,554960,108017,5056,18608,12672,5935,8752,8644,108,91423,57618,6056,80030,62702,87771,28926,647172,645298,354539,284575,2426,3757,1874,649040,17540912
1996:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996:Q4,Silent,21830904,5906289,4718939,1187351,15924614,2015126,478285,1317364,889524,427840,474286,393563,80723,3675900,254772,383903,730821,4143227,2301066,149866,1462710,1455132,972694,304580,6786,171072,7578,20368194,40495050
1996:Q4,BabyBoom,12324041,4831816,3705457,1126359,7492225,768153,157121,343420,228705,114715,62988,43745,19244,1611548,309991,206141,968018,1534379,1382094,148372,2961057,2951876,2195039,665123,11892,79823,9180,9362984,41948403
1996:Q4,GenX,1422261,778929,464709,314220,643333,110762,6159,19693,13168,6525,10480,10327,153,109554,59864,345,127468,64416,104709,29883,682700,680773,370898,304175,1684,4016,1927,739561,18025372
1996:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997:Q1,Silent,21868654,5931141,4740751,1190390,15937513,2007854,496680,1203809,840087,363721,479020,399460,79560,3726328,253090,386695,736356,4182466,2315284,149932,1468495,1461075,976437,300351,9315,174972,7421,20400158,40284882
1997:Q1,BabyBoom,12499355,4880385,3737161,1143223,7618970,780643,176674,312789,206800,105990,42451,24385,18066,1624319,321854,213262,987408,1567628,1441420,150522,2968103,2958718,2210579,648750,16662,82727,9385,9531252,41979981
1997:Q1,GenX,1468393,809106,485676,323431,659287,115273,8886,21323,15977,5346,14021,13797,224,103014,61370,1034,113652,66625,123161,30927,700244,698298,386433,305074,2474,4317,1946,768149,18503192
1997:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997:Q2,Silent,22360062,5968041,4774059,1193982,16392021,2003297,500444,1205370,830062,375308,487405,408570,78835,4095538,253579,388164,765622,4222465,2320059,150079,1484517,1477249,982450,305162,10296,179341,7268,20875545,40078938
1997:Q2,BabyBoom,13211213,4952619,3803775,1148843,8258595,796360,169368,316810,205773,111037,44861,27952,16910,1986199,336397,245347,1105352,1615802,1489356,152743,3009118,2999525,2236785,654130,19090,89520,9593,10202095,42014252
1997:Q2,GenX,1680449,841474,517335,324140,838975,121073,4231,23977,17429,6549,17079,16828,251,198160,63844,6061,164699,69257,138600,31993,733389,731425,405352,318746,2784,4542,1964,947061,18974739
1997:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997:Q3,Silent,22713234,5988156,4785393,1202763,16725078,2001834,514723,1208296,815434,392862,495384,417158,78226,4326422,253911,390151,788719,4263086,2331303,151249,1503610,1496493,995745,310592,5673,184482,7118,21209624,39873091
1997:Q3,BabyBoom,13754558,5031802,3871843,1159959,8722757,816048,182303,319658,202438,117220,33320,17572,15747,2191385,350770,267746,1204270,1657507,1544025,155726,3062959,3053153,2277749,661427,11610,102368,9805,10691600,42054173
1997:Q3,GenX,1857119,883356,556083,327273,973763,128491,4981,26935,18986,7950,21215,20945,270,249230,66255,9604,205389,71722,156574,33367,777447,775467,435787,333785,1257,4638,1980,1079671,19440377
1997:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997:Q4,Silent,22955841,6033792,4836585,1197207,16922049,2005888,529363,1221043,848965,372078,502818,425570,77248,4409689,250786,393960,792366,4304139,2362345,149651,1525883,1518913,1003281,318399,9203,188029,6970,21429958,39663217
1997:Q4,BabyBoom,14059778,5093206,3912376,1180830,8966572,843545,196695,339966,223641,116325,39652,25104,14548,2245164,361039,261968,1221714,1680827,1619200,156802,3089861,3079839,2284771,674099,18874,102095,10022,10969917,42102702
1997:Q4,GenX,1928374,921252,581327,339924,1007122,139099,6115,27529,19382,8147,24952,24618,334,256990,66994,8157,188270,73652,181443,33921,819324,817328,458307,351667,2314,5041,1996,1109049,19900472
1997:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998:Q1,Silent,23510556,6079042,4876462,1202580,17431514,1993510,551797,1218159,813470,404689,508928,432804,76124,4843535,249189,395520,819044,4344944,2357751,149137,1536273,1529498,1013526,313864,9873,192236,6775,21974283,39445189
1998:Q1,BabyBoom,14898669,5196111,4002451,1193660,9702558,846035,227792,334853,209414,125439,52979,39650,13329,2656316,373389,291037,1347482,1755976,1657970,158729,3098993,3088792,2301684,658815,20959,107334,10201,11799676,42162795
1998:Q1,GenX,2187199,964578,620757,343820,1222621,139729,12402,31579,21512,10068,28653,28234,419,370740,68460,13079,250962,77129,195086,34802,847397,845424,486234,351363,2497,5329,1973,1339802,20355388
1998:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998:Q2,Silent,23795025,6166575,4959590,1206985,17628450,1981769,561319,1298072,844104,453968,514839,439912,74926,4930279,247213,397676,822845,4354549,2372316,147574,1556351,1549644,1022301,321940,8783,196620,6706,22238675,39214881
1998:Q2,BabyBoom,15347538,5332213,4121770,1210443,10015325,850075,233719,367785,229591,138194,53634,41534,12100,2720923,385563,309360,1371490,1845283,1717478,160015,3162979,3152481,2344383,674108,19681,114309,10498,12184559,42237409
