1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1966:Q3,6212,7915,11981,3655,4187,870,3533,-264,5559,9625,-2070,2749,1324,1295,116,15,-1571,0,-1,-1528,1,-44,1,3248,0,3247,0,367,412724
1966:Q4,11577,1068,12324,3530,4216,894,3832,-149,2071,13327,10056,9607,6578,2189,159,682,-1022,0,-67,747,-1719,17,0,-1471,-2,-1469,0,454,424301
1967:Q1,14021,5240,11145,3601,3681,898,3058,-92,-3636,2270,8795,2665,785,1491,143,248,2113,0,0,2070,0,44,-1,-4017,1,-4017,-1,-14,438322
1967:Q2,10874,5758,9319,3482,3644,882,1259,53,1082,4644,5207,5017,3062,1495,373,87,102,0,0,90,0,11,0,-88,0,-88,1,-90,449196
1967:Q3,16996,7038,9827,3522,3412,894,2319,-320,5471,8260,9601,6203,3858,1748,459,140,1263,0,0,1232,0,31,0,-2135,-1,-2133,-1,357,466192
1967:Q4,16548,5038,11048,3506,3675,903,2695,269,11396,17405,11670,10385,7362,1941,595,486,1714,0,67,-48,1695,0,-0,429,11,418,1,-160,482740
1968:Q1,10057,7218,11233,3521,3976,923,2372,441,6654,10668,3479,7841,5890,1234,650,65,-1299,0,0,-1230,0,-69,0,3064,0,3064,-0,-640,492797
1968:Q2,21222,5853,11015,3351,3673,947,2904,139,5077,10238,15574,8239,5905,2406,366,-439,2004,0,0,1923,0,80,1,-5332,0,-5332,-0,-206,514019
1968:Q3,12903,2928,10663,3353,3866,952,2351,142,6165,13901,10051,7987,5400,2354,385,-151,686,0,0,661,0,25,-0,-1378,0,-1378,1,-76,526922
1968:Q4,22583,4264,11488,3766,4174,961,2724,-137,14231,21455,17983,13968,10472,2851,573,73,3026,0,103,265,2662,-4,0,-989,-8,-981,-1,336,549504
1969:Q1,16857,9491,12832,4147,4440,951,3368,-74,8624,11964,7787,10114,7319,1420,775,600,-605,0,0,-548,0,-56,-0,1722,0,1722,0,-422,566361
1969:Q2,15704,5639,12854,4528,4431,972,3025,-102,9172,16387,10127,12049,9814,1867,633,-264,-1013,0,0,-959,0,-54,-0,910,1,910,-0,-63,582065
1969:Q3,16185,6667,13866,4841,4471,952,3686,-84,9361,16559,9268,12377,8045,2866,840,626,-1269,0,0,-1248,0,-20,-0,1841,0,1840,1,250,598250
1969:Q4,22405,2899,13394,4579,4216,929,3742,-72,11322,21817,18938,15797,12274,2872,691,-40,3110,0,130,-310,3315,-25,0,-31,-8,-23,-1,568,620655
1970:Q1,14823,7820,11371,4286,3993,859,2265,-32,5224,8774,6792,11533,7538,3376,960,-342,-761,0,-1,-756,1,-5,0,3981,0,3981,1,211,635478
1970:Q2,16945,6337,10911,4158,3797,764,2172,20,11086,15660,10568,25440,21549,3073,598,221,-5606,0,0,-5435,0,-170,-1,9266,0,9266,-0,40,652423
1970:Q3,15958,1535,11440,4034,3708,690,3045,-35,167,10072,14446,3883,663,2560,764,-103,3883,0,1,3818,-1,65,0,-6680,0,-6679,0,-23,668381
1970:Q4,26801,697,9071,3985,2941,588,1495,61,6449,14823,26345,15571,11390,3841,852,-511,6445,0,138,2726,3548,32,1,-4329,14,-4342,-0,-241,695182
1971:Q1,32417,5211,11085,3978,3025,557,3028,497,3426,9301,27542,18522,12223,4100,954,1245,2958,0,0,2891,0,67,-0,-6063,0,-6063,-0,-336,727599
1971:Q2,23668,6071,10151,3932,3152,540,2667,-140,8851,12931,17395,17737,14078,2734,459,466,-215,0,0,-217,0,3,-1,128,0,128,-0,202,751267
1971:Q3,26242,9896,10615,4019,3070,546,3136,-156,12332,13051,16251,15242,14261,1220,422,-661,-489,0,-1,-483,1,-7,0,-1498,0,-1498,1,95,777509
1971:Q4,28489,6153,9599,4239,3381,602,1517,-141,15562,19007,22381,12887,12316,743,305,-477,6987,0,210,1335,5411,32,-1,-2506,6,-2512,-1,-45,805998
1972:Q1,38658,11348,11282,4658,3854,693,2238,-161,10543,10476,27413,21863,17276,3387,819,381,1848,0,0,1826,0,21,1,-3702,0,-3702,0,-104,844656
1972:Q2,23811,12596,13151,4837,4096,753,3624,-159,10403,10958,11729,13607,9962,2667,653,327,-22,0,0,-17,0,-5,-0,1856,0,1857,-0,-514,868467
1972:Q3,23977,10087,14170,4955,4270,753,4197,-5,11133,15216,13797,13284,10646,1752,620,266,1180,0,0,1185,0,-5,-0,667,-1,668,0,93,892444
1972:Q4,59850,20870,15803,5178,5085,757,4131,652,35470,30403,39365,12667,11616,332,549,169,22079,0,722,2565,18760,32,0,-4619,28,-4646,-0,-385,952294
1973:Q1,30669,21601,20330,5546,5724,761,7089,1210,20435,19164,10314,18113,11938,2592,1091,2491,-2286,0,0,-2198,0,-87,-1,5513,0,5512,0,-1246,982963
1973:Q2,31945,12761,21452,5989,6322,769,8183,189,21647,30337,19585,28133,20288,4735,1200,1911,-2780,0,1,-2705,-1,-75,0,5769,0,5768,0,-401,1014908
1973:Q3,46227,6909,20762,6255,6383,767,6257,1100,16234,30087,40405,31997,26378,4099,1496,24,1757,0,-1,1701,1,57,-0,-6651,0,-6652,-0,-1087,1061135
1973:Q4,40556,14631,24126,6055,6472,784,10509,305,32256,41752,26196,31290,25308,2122,1833,2028,3944,0,327,-4835,8538,-87,1,9039,53,8986,0,-270,1101691
1974:Q1,54317,19718,25385,5967,6429,760,11394,835,15112,20779,35767,35394,22127,7654,2173,3440,-1759,0,0,-1716,0,-43,0,-2132,0,-2132,-0,-1168,1156007
1974:Q2,60697,15721,29550,6102,6521,735,12816,3377,19099,32928,48492,59265,38816,12863,2148,5438,-4508,0,-1,-4431,1,-77,0,6265,1,6265,-0,-3516,1216704
1974:Q3,73939,31073,26902,5786,6790,736,13755,-164,31909,27738,42589,74075,48426,19895,2191,3563,-14363,0,1,-14155,-1,-208,0,17124,0,17125,0,277,1290643
1974:Q4,173303,5419,28473,5682,6017,683,14902,1190,785,23840,82554,73010,46672,24492,2205,-359,3598,0,0,3539,0,59,-0,-5947,0,-5948,0,85330,1463946
1975:Q1,-66080,3642,9453,4960,4469,557,-612,80,-810,5001,79870,58869,36628,22290,1656,-1704,11657,0,0,11545,0,112,-0,-9344,0,-9344,-0,-149593,1397866
1975:Q2,67245,3471,6611,4268,3804,504,-2003,39,7244,10383,63706,42562,23998,16298,2034,232,9014,0,0,8917,0,96,1,-12130,0,-12131,0,68,1465111
1975:Q3,7566,1027,10883,4208,3713,548,2464,-50,9250,19106,6594,23643,12853,8291,1074,1424,-8338,0,0,-8232,0,-106,0,8711,-1,8712,0,-55,1472677
1975:Q4,40200,5737,11261,4409,3950,642,2347,-86,4712,10235,34691,25425,16750,8525,960,-810,4477,0,0,4431,0,46,-0,-4789,1,-4790,-0,-228,1512877
1976:Q1,59008,15146,16098,4817,4271,842,6065,104,25997,26949,44473,26222,14023,10543,654,1003,8576,0,0,8487,0,89,0,-9675,0,-9674,-0,-611,1571885
1976:Q2,62814,21477,20243,4969,4543,977,9109,646,29295,28061,42221,42117,31217,7514,1762,1625,1020,0,0,1001,0,20,-1,916,0,916,0,-884,1634699
1976:Q3,43142,4427,20355,5162,5065,1122,8022,985,19868,35796,39529,39677,27674,9427,1512,1064,614,0,1,625,-1,-12,1,761,0,760,-0,-814,1677842
1976:Q4,102940,-87,19215,5162,5678,1258,6871,247,466,19768,102765,40574,28154,11166,1586,-330,62191,0,2218,1417,58547,9,0,0,603,-604,-0,262,1780782
1977:Q1,47296,10583,22571,5262,7176,1319,8942,-127,23127,35115,36584,48153,34066,11069,999,2021,-5720,0,0,-5654,0,-66,0,5850,1,5849,0,129,1828078
1977:Q2,56137,17462,22154,5730,7772,1430,7078,145,18868,23561,39019,35922,24556,10388,1462,-482,1402,0,-1,1356,1,47,-1,-1695,0,-1695,0,-344,1884214
1977:Q3,51590,15192,24941,6065,8287,1458,8354,777,30708,40457,37175,43225,29401,11501,1680,644,-2750,0,1,-2731,-1,-18,-0,3300,0,3301,-1,-777,1935804
1977:Q4,67195,13363,24871,6342,9339,1418,7509,265,35545,47053,54098,43322,27414,12328,1752,1826,10860,0,438,-1036,11466,-8,-0,84,772,-689,0,-266,2002999
1978:Q1,52108,11276,28063,6480,9322,1373,11011,-123,32598,49385,40710,47943,29633,12537,2248,3525,-4489,0,0,-4461,0,-27,-1,2744,0,2744,0,122,2055107
1978:Q2,89122,14450,32654,8098,11242,1481,11142,691,19933,38137,75365,61585,42598,12931,1837,4220,4818,0,0,4780,0,37,1,-8962,0,-8962,0,-693,2144229
1978:Q3,94446,20123,31873,9230,11505,1592,9920,-374,32014,43765,73949,57196,39542,13489,2191,1975,5324,0,0,5294,0,30,-0,-11428,0,-11429,0,375,2238676
1978:Q4,99005,22198,37439,9950,12129,1797,13552,12,49236,64478,76817,64021,44545,13434,2366,3676,18053,0,907,-4848,22030,-36,0,5256,1060,4196,0,-10,2337680
1979:Q1,93551,13618,39004,9868,13334,2020,13258,524,40103,65489,80456,72611,44910,18013,2265,7422,4145,0,0,4125,0,20,-0,-3700,1,-3700,-0,-523,2431232
1979:Q2,106371,25905,40463,10171,12676,2153,15516,-52,31610,46168,80638,78411,51020,18215,3016,6160,1018,0,1,1001,-1,17,-0,-1210,-1,-1210,1,-172,2537603
1979:Q3,119297,25888,39815,11344,13256,2267,12385,565,58565,72493,94281,82447,57183,17096,2941,5227,4931,0,-1,4886,1,44,1,-6904,0,-6903,-1,-872,2656900
1979:Q4,106854,17985,40535,12354,12335,2287,12212,1347,39468,62018,90215,70645,42954,18472,3163,6056,25001,0,937,-1059,25113,11,-1,5431,1431,4000,0,-1346,2763754
1980:Q1,65999,-2889,44256,12975,12636,2367,15740,539,29247,76392,75026,82691,39001,28856,3330,11503,-4613,0,0,-4514,0,-99,-0,3051,0,3052,-0,-6138,2829753
1980:Q2,111045,8742,35732,12828,9598,2251,11366,-310,5044,32034,103913,80445,46110,29459,3302,1575,9676,0,0,9581,0,94,1,-13792,0,-13792,1,-1610,2940798
1980:Q3,130162,20546,30756,13021,9668,2222,5496,350,73555,83766,108122,86709,50934,26792,3674,5308,9153,0,0,9036,0,118,-1,-12261,0,-12260,-1,1494,3070960
1980:Q4,143595,4638,37786,13681,9808,2400,8900,2998,36369,69516,136418,91142,63995,20551,3518,3079,41078,0,1196,8468,31353,61,-0,-4198,3916,-8114,0,2539,3214555
1981:Q1,106509,12750,44208,14039,10664,2899,16778,-172,120801,152259,90542,90056,57400,22368,3470,6818,171,0,1,201,-1,-31,1,-315,0,-315,-0,3217,3321064
1981:Q2,96608,23150,36985,15181,10813,3103,6678,1209,30089,43924,73651,83326,55701,22178,3252,2195,-4086,0,0,-4078,0,-7,-0,5590,0,5589,1,-193,3417672
1981:Q3,38688,8535,45570,15744,11355,3228,12100,3143,34924,71959,34310,63852,45609,14615,3086,542,-13125,0,0,-12987,0,-140,1,16416,0,16415,0,-4157,3456360
1981:Q4,126041,28606,41310,17638,10372,3490,8947,863,19131,31835,101344,78348,63119,15162,4238,-4170,15857,0,496,5585,9737,39,0,-7139,2214,-9352,-1,-3909,3582401
1982:Q1,72852,-13422,26383,16325,8763,3505,-3006,796,27222,67026,87727,92506,75476,10937,2509,3584,-9518,0,0,-9419,0,-98,-1,-4739,0,-4740,0,-1453,3655253
1982:Q2,37178,6543,24476,14845,6678,3544,-761,170,8070,26003,31023,30557,10711,16204,2952,691,-2089,0,0,-2105,0,16,0,-2555,0,-2556,0,-388,3692431
1982:Q3,71110,14281,23016,13077,5385,3518,997,39,42808,51543,56649,21252,9982,9490,2793,-1012,9933,0,0,9752,0,181,-0,-25464,0,-25464,-0,180,3763541
1982:Q4,59510,23265,13308,12596,4033,3357,-9017,2340,15757,5800,38173,7063,-3525,7158,2999,431,22481,0,2079,18371,1797,234,-1,-8629,-8110,-519,-0,-1928,3823051
1983:Q1,77478,6518,10684,11399,3203,3457,-7304,-71,33391,37558,74881,36280,28096,5524,2874,-215,11428,0,-0,11273,0,155,0,-27174,0,-27173,-0,-3921,3900529
1983:Q2,62870,31348,24789,10195,4502,3711,2784,3597,50937,44379,36449,-9778,-15013,1766,1970,1499,14316,0,-0,14053,0,263,0,-31911,0,-31912,0,-4927,3963399
1983:Q3,6671,10937,32290,10851,6222,4084,9900,1232,34568,55920,-4041,5005,-2945,822,3106,4024,-1990,0,-0,-1918,0,-72,0,7057,0,7057,-1,-225,3970070
1983:Q4,67333,10802,35939,11609,9767,4542,10079,-57,36274,61411,52481,24261,16709,5027,2255,271,30849,0,127,-1086,31920,-111,-1,2629,-1,2628,1,4049,4037403
1984:Q1,-26674,3229,46533,13046,10099,4921,17852,616,82927,126232,-22502,15070,2722,3933,2684,5732,-5837,0,0,-5552,-1,-286,1,31736,0,31736,-0,-7401,4010729
1984:Q2,21174,16429,51075,14575,12024,5246,17767,1464,88624,123270,16691,31442,22413,5268,2068,1695,-6056,0,0,-5915,-1,-140,-1,8695,0,8696,-0,-11947,4031902
1984:Q3,109079,56742,50522,15656,12928,5508,15449,981,78428,72207,67501,34256,27564,3491,2977,225,13197,0,0,12999,-1,198,-0,-20048,0,-20048,0,-15164,4140981
1984:Q4,73834,66350,46402,16230,13680,5685,10296,512,25396,5449,25880,31120,26142,4276,626,76,-18137,0,-180,1170,-19201,73,-0,-12898,2,-12901,0,-18395,4214815
1985:Q1,9402,-17773,37754,17884,12361,5687,1990,-168,49913,105441,39367,3987,-440,2933,2518,-1022,14441,0,0,14043,0,397,1,-20939,0,-20940,0,-12192,4224217
1985:Q2,38784,11725,40916,18284,12832,5742,4137,-78,35042,64233,39351,10064,5267,5646,1439,-2287,11903,0,0,11618,0,284,0,-17385,0,-17384,-0,-12292,4263001
1985:Q3,-13087,5571,35882,17358,11181,5700,646,999,59002,89313,-5233,23141,15232,7939,1860,-1889,-11287,0,0,-10063,0,-1223,-0,17087,0,17087,0,-13425,4249914
1985:Q4,299744,23772,42469,16642,11152,5826,8918,-69,83611,102308,218329,40697,27515,11187,557,1439,119308,0,-337,29836,89328,481,-0,-58324,0,-58325,-0,57643,4549658
1986:Q1,78716,-192,31597,14808,9409,5824,1731,-175,-24563,7227,85518,3313,5059,3148,2061,-6957,28877,0,0,27994,1,882,0,-53329,0,-53328,0,-6610,4628374
1986:Q2,44612,12540,28873,11133,9314,5754,1007,1666,27679,44012,41018,22127,7368,13912,1160,-312,12539,0,0,12349,1,188,1,-6351,0,-6351,0,-8946,4672986
1986:Q3,-29839,10913,21506,10007,8460,5580,-2344,-198,95642,106235,-33174,30812,14265,14233,1261,1054,-20891,0,0,-20594,1,-297,-1,43095,0,43095,0,-7578,4643147
1986:Q4,139008,-1282,25715,10739,8550,5408,70,948,41503,68500,149508,20055,10688,8098,1185,84,119117,0,1044,11671,106055,347,1,-10336,-1,-10334,-1,-9218,4782155
1987:Q1,173382,14804,33030,10408,5875,5185,11786,-223,45424,63650,164595,19753,8062,9323,2150,219,55009,0,0,54311,0,698,0,-89832,0,-89832,0,-6016,4955537
1987:Q2,68269,7623,32937,10778,6304,4980,11058,-182,37512,62826,66186,25188,16680,2402,3076,3030,13917,0,0,13548,0,370,-1,-27081,0,-27080,-0,-5540,5023806
1987:Q3,86983,17702,28674,12157,6730,4774,5040,-27,47129,58101,74462,25920,17651,2645,3723,1902,19853,0,0,19727,0,126,0,-28688,0,-28688,-0,-5180,5110790
1987:Q4,-131199,10590,43189,13274,5558,4649,19759,-52,103840,136438,-137149,82386,50170,22903,5494,3820,-66566,0,-312,-83071,18191,-1373,-1,152970,-6236,159205,0,-4640,4979591
1988:Q1,60992,-18879,33028,12539,6710,4475,9577,-271,56028,107935,83233,65813,45934,12691,5104,2084,13638,0,0,13185,0,453,1,-3781,0,-3781,-0,-3361,5040583
1988:Q2,83934,15516,38891,14128,7633,4260,13707,-836,47411,70787,70480,47754,31141,8761,3194,4658,15413,0,0,15263,0,150,0,-7314,0,-7314,0,-2062,5124517
1988:Q3,39721,31127,39664,14085,7649,4257,13312,362,46607,55144,11122,39583,27885,7385,2652,1661,-1680,0,0,-1544,0,-135,-1,26782,0,26782,-0,-2528,5164238
1988:Q4,162459,29927,40320,13613,8292,4916,13524,-26,201283,211675,133940,69952,41607,23095,2030,3220,74753,0,-21,5238,69460,76,0,10765,1,10763,-0,-1408,5326698
1989:Q1,239301,-8163,53343,21592,8482,5291,18264,-285,126734,188240,250494,211305,191541,11869,4314,3581,14834,0,0,14224,0,609,0,-24355,0,-24356,1,-3030,5565999
1989:Q2,27323,-1136,36444,8984,9082,5623,12632,124,22531,60110,32210,-14053,-22850,7520,3055,-1778,20205,0,0,19078,0,1127,0,-26058,0,-26057,-1,-3752,5593322
1989:Q3,29734,-26751,30212,10390,10270,5983,3662,-93,3389,60352,61669,-12367,-29199,14864,3512,-1544,26373,0,0,25612,0,762,-0,-47663,0,-47662,-0,-5184,5623056
1989:Q4,28694,-5042,34534,11450,8856,6300,8016,-89,13303,52879,39353,-23818,-40934,14454,1961,700,72783,0,98,3475,69186,24,0,9611,0,9611,1,-5617,5651750
1990:Q1,-59700,-16175,33748,14147,9533,6514,3791,-237,16011,65934,-40833,-10729,-28213,13654,3210,621,-11320,0,0,-10956,1,-365,-1,18784,0,18783,0,-2692,5592050
1990:Q2,46199,14119,37693,15562,7668,6692,7789,-17,-4417,19157,34649,-15390,-26937,7794,4316,-562,15211,0,0,14798,1,411,1,-34828,0,-34827,-1,-2570,5638248
1990:Q3,-67309,30955,54480,27321,8898,6422,11846,-6,84698,108224,-96027,18128,-11386,16733,4064,8718,-44486,0,0,-42768,1,-1718,-1,69668,0,69667,1,-2237,5570939
1990:Q4,-58546,980,27583,12423,8266,6144,1146,-395,30113,56716,-58020,9532,-12754,22031,593,-338,-98830,0,-1165,19998,-118336,673,0,-31278,1,-31278,-1,-1506,5512394
1991:Q1,78395,-11561,24668,19164,6089,6379,-6529,-435,-6788,29441,91913,-11874,-30973,18938,6677,-6515,38882,0,0,37432,-1,1450,0,-64905,0,-64904,-0,-1957,5590789
1991:Q2,-11396,28591,16853,11510,5344,6686,-6251,-435,33658,21920,-38039,-28938,-29260,115,4296,-4090,-3416,0,0,-3395,-1,-20,-1,5685,0,5684,1,-1948,5579393
1991:Q3,-63038,5008,22943,8797,6008,6374,2196,-431,43513,61448,-66103,-106417,-107833,-884,2889,-589,14677,0,0,14031,-1,647,-0,-25637,0,-25637,-0,-1943,5516355
1991:Q4,1195,-6344,25770,7381,5716,6725,6385,-437,-18498,13616,9467,-100548,-105839,6737,-1937,491,72187,0,-226,24680,47114,619,0,-37828,-2,-37826,-0,-1928,5517550
1992:Q1,-198229,-123813,14292,5014,5544,6387,-2214,-439,128938,267042,-71836,-55516,-69167,15871,-2155,-66,-11260,0,0,-11370,0,110,0,5060,0,5061,-0,-2580,5319322
1992:Q2,-31055,30315,33189,12139,9029,6385,6078,-441,3295,6169,-58542,-60437,-66942,1477,3128,1901,3353,0,0,3689,0,-337,1,1458,0,1457,0,-2828,5288267
1992:Q3,-59366,-8279,30442,9866,10229,6228,4554,-435,2564,41284,-44201,-67357,-77184,5420,3020,1387,8331,1,0,7818,0,513,-1,-14825,0,-14826,1,-6886,5228901
1992:Q4,-97565,9643,31161,8615,11900,6709,4368,-430,13149,34667,-103869,-73479,-75441,-2910,5364,-492,-63994,-2,572,14145,-79708,998,2,-33604,1290,-34893,-1,-3340,5131335
1993:Q1,44021,32534,37365,7291,12572,6750,11193,-440,75668,80499,14302,-20546,-27066,7394,-2031,1157,12926,4,0,12291,0,634,-4,-21922,0,-21923,0,-2815,5175356
1993:Q2,41919,58604,47094,17693,14652,6868,8304,-422,81692,70182,-14528,-18637,-25247,3690,2024,896,-876,-2,0,-907,0,31,1,-4986,0,-4986,-0,-2158,5217275
1993:Q3,73939,42125,32628,7739,14573,6593,4137,-412,67169,57672,34790,2875,525,3498,-642,-507,7882,6,0,6899,0,983,-7,-24034,0,-24034,0,-2976,5291214
1993:Q4,238355,65609,40926,11606,17874,6571,5302,-426,100179,75495,174435,15758,-30,5675,8121,1993,146162,-3,-74,6368,139691,177,3,-12514,0,-12514,1,-1689,5529569
1994:Q1,30231,22080,45395,10475,19694,6380,9225,-380,47483,70798,15804,52218,33940,16333,2055,-111,-18816,-9,0,-18043,-0,-771,8,17598,0,17598,0,-7653,5559800
1994:Q2,117233,71332,55626,11916,19380,6417,18085,-171,62229,46524,47977,53799,35343,12871,2825,2760,-2215,-7,0,-1283,-0,-933,8,3606,0,3605,-0,-2076,5677033
