date,FA174090005.Q,FA173020005.Q,FA173030005.Q,FA153030505.Q,FA173034005.Q,FA174022005.Q,FA173061105.Q,FA153061705.Q,FA173062005.Q,FA153063005.Q,FA174023005.Q,FA153064105.Q,FA153064205.Q,FA163070005.Q,FA153040005.Q,FA153050005.Q,FA173099005.Q,FA175050005.Q,FA175012005.Q,FA175013005.Q,FA155111003.Q,FA155420003.Q,FA115020005.Q,FA176300005.Q,FA176320005.Q,FA176330005.Q,FA156300103.Q,FA172010005.Q,FA175012865.Q,FA175013865.Q,FA155111005.Q,FA155420003.Q,FA115020005.Q,FA174190005.Q,FA173165105.Q,FA173165205.Q,FA153166000.Q,FA173169005.Q,FA173199005.Q,FA175440005.Q,FA176007025.Q,FA155111005.Q,FA313154015.Q,FA156600075.Q,FA176007005.Q,FA156007015.Q,FA176007085.Q,FA156012005.Q,FA176007026.Q,FA176007006.Q,FA156007016.Q,FA176007086.Q
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,20894,2790,2365,-267,0,554,-1008,92,1741,-271,1398,648,211,0,2945,8430,1820,61865,20621,10344,30690,0,210,29807,4986,5981,18827,32058,15635,4363,11863,0,210,18115,7844,2132,4573,1077,2490,825,35662,11863,547,0,23252,19997,3255,214823,16.60044637706188,10.823597529405902,9.30859358634783,1.5150039430580704
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,29133,4935,4970,-222,0,-93,-603,-42,275,277,494,1354,266,0,2728,13803,898,60475,18564,10526,29961,0,1424,35256,5608,6911,22720,25219,12956,3615,7241,0,1424,12387,6542,2328,1403,577,1538,940,42904,7241,291,18,35390,25879,9511,237177,18.08952592181229,14.921427834729645,10.911260366730332,4.010167467999312
1952:Q1,49259,5704,5876,-144,0,9792,3828,16,6560,-612,3688,1008,524,0,2672,16100,4039,58369,18176,10086,28967,0,1140,35827,5893,7201,22715,22542,12283,2885,6252,0,1140,13820,6252,1640,2386,198,3343,1034,59015,6252,440,20,52343,27358,24985,243408,24.245369909894727,21.504293199186776,11.239564845855519,10.264728353331261
1952:Q2,47668,-284,8092,-196,0,19192,5964,2356,9988,884,940,572,512,0,2832,15456,552,59464,18666,9944,29185,0,1669,36582,5962,7281,23321,22882,12704,2663,5864,0,1669,17231,6388,3056,6382,457,948,1079,54398,5864,520,24,48038,26163,21875,246447,22.072855015950903,19.49217844046003,10.616075667384873,8.876102773075155
1952:Q3,34704,3876,6364,-192,0,1728,-1024,1208,2444,-900,648,412,524,0,2956,15556,2832,57661,18659,8931,27735,0,2336,36897,6042,7350,23487,20764,12617,1581,4248,0,2336,14901,6676,2380,4542,359,944,1103,41670,4248,292,24,37154,30082,7072,253057,16.46672096168726,14.682142783648318,11.887440379045037,2.7947024046032816
1952:Q4,26372,-2608,9564,-96,0,-3840,-1284,-3900,1876,-532,2696,468,460,0,3092,15876,760,61856,19544,9884,31741,0,687,37658,6134,7414,24092,24198,13410,2470,7649,0,687,15696,7180,1324,7378,1022,-1208,1004,35878,7649,300,20,27949,27624,325,258904,13.85768662785764,10.795161522026909,10.669591817816643,0.12556970421026575
1953:Q1,48884,12164,8276,-152,0,44,-2596,52,3192,-604,2692,696,492,0,3096,16220,5356,64817,19876,10370,33660,0,911,37292,6175,7534,23563,27525,13701,2836,10097,0,911,22051,7520,948,7897,882,4804,1224,55582,10097,336,24,45173,27936,17237,262968,21.13625564145322,17.177979349280793,10.62334580633385,6.554633542946942
1953:Q2,50436,-6100,9448,-204,0,26028,17736,3100,4124,1068,-256,1180,332,0,3040,16432,536,63668,19966,10658,33500,0,-456,38087,6270,7593,24204,25581,13696,3065,9296,0,-456,16519,8352,2836,3529,870,932,1052,60551,9296,312,24,50967,29810,21157,266799,22.695288774863503,19.10307141272946,11.173205296871428,7.929866115858034
1953:Q3,27532,3524,6488,-232,0,-3776,-6332,1468,2548,-1460,132,-88,336,0,2952,16668,1528,64315,19386,11101,33077,0,751,38639,6360,7648,24611,25676,13026,3453,8466,0,751,13344,7192,1824,3097,83,1148,1113,40976,8466,296,24,32238,29135,3103,266957,15.349464654472978,12.07627833607713,10.913742662676011,1.162535673401119
1953:Q4,16272,-5236,8728,-176,0,-8248,-7004,-4000,1800,956,2696,-304,372,0,2840,17040,-1440,64278,19150,11036,32222,0,1870,38964,6442,7704,24798,25314,12708,3332,7424,0,1870,4184,7024,916,1845,907,-6508,1203,38605,7424,368,20,30833,29880,953,267217,14.447059883801241,11.53856229569869,11.181923305777701,0.35663898992098686
1954:Q1,37516,3628,8612,-200,0,1020,812,-284,1564,-1072,868,-104,340,0,2768,16204,4380,62290,19252,10520,31830,0,688,40366,6502,7769,26073,21924,12750,2751,5757,0,688,14569,6836,1084,-739,644,6744,1195,46066,5757,148,24,40185,30580,9605,269931,17.065764802748635,14.887059874452143,11.328821069088026,3.5582388053641187
1954:Q2,43828,3400,10772,-240,0,8928,4848,2628,1840,-388,1996,472,200,0,2716,16040,-456,63300,20563,10560,32542,0,-365,41158,6579,7832,26725,22142,13984,2728,5817,0,-365,15606,8560,3660,1249,757,1380,1142,51506,5817,-56,24,45769,27727,18042,269820,19.088841746106635,16.96260944308981,10.276109999258765,6.686499443831045
1954:Q3,27672,10244,6528,-204,0,-10028,-12228,1192,1604,-596,1408,-496,496,0,2676,15680,1368,65725,22070,10968,32143,0,544,41113,6658,7908,26525,24612,15412,3060,5618,0,544,20878,10108,2952,1305,1565,4948,1143,32549,5618,-508,28,27467,26988,479,271778,11.97632822528135,10.106419696997236,9.930163589400172,0.17625610759706337
1954:Q4,17468,-7252,11272,-260,0,-6308,-3616,-3564,3356,-2484,3912,-1224,648,0,2648,16100,-2068,68087,23446,11240,33913,0,-512,41299,6738,7994,26545,26788,16708,3246,7368,0,-512,16021,12168,1532,3581,2448,-3708,1172,29407,7368,-192,28,22259,27288,-5029,276713,10.627083096663375,8.04390124398569,9.861481029080672,-1.8175797850949817
1955:Q1,50772,8964,9108,-156,0,5772,5324,-728,1584,-408,1892,1328,508,0,2728,16528,4100,73340,25295,11368,36601,0,76,42534,6875,8037,27598,30806,18420,3331,9003,0,76,27789,12772,1984,6153,2116,4764,1244,55033,9003,-312,24,46366,26238,20128,282103,19.508010633569057,16.435728523843174,9.300858197183299,7.134870326659877
1955:Q2,42924,-3356,9336,-372,0,18036,11284,2748,4796,-792,1020,-1100,464,0,2836,16920,-860,76310,25877,12472,38765,0,-804,43204,6992,8149,28039,33106,18885,4323,10726,0,-804,31146,13356,2988,8169,757,5876,1116,46000,10726,-64,28,35366,27459,7907,288631,15.937336763648261,12.253047827255426,9.51353111758612,2.739516709669304
1955:Q3,36464,6856,5840,-440,0,1936,-2740,1452,2708,516,572,-328,728,0,3032,17028,1240,78087,25502,13198,40395,0,-1008,43967,7144,8273,28526,34120,18358,4925,11869,0,-1008,28024,12484,2712,7577,1207,4044,1244,43804,11869,28,24,31931,29515,2416,295107,14.843380403003307,10.820093934027648,10.00145709861169,0.8186368354159578
1955:Q4,24652,-6652,10120,-52,0,-608,-3896,-1640,3752,1176,2716,-228,588,0,3024,17236,-1492,77718,24445,13191,39435,0,647,44959,7332,8409,29193,32759,17113,4782,10242,0,647,19802,11708,732,6045,561,756,1408,39017,10242,124,28,28679,29581,-902,299354,13.033867451851519,9.580431052137467,9.881611737274264,-0.3011806851367967
1956:Q1,53480,6916,9528,-364,0,7384,5368,164,1084,768,2608,-100,1204,0,3400,18016,4888,74675,24013,12789,37570,0,303,47404,7337,8776,31264,27271,16676,4013,6306,0,303,23151,11036,3124,5397,186,3408,1471,59071,6306,400,28,52393,32065,20328,303616,19.455952147762986,17.256463319769733,10.56103762647555,6.695425693294184
1956:Q2,51048,72,10924,-140,0,18104,9024,3084,4204,1792,1200,-2188,108,0,3636,18236,1096,73217,24255,12421,37708,0,-1167,48182,7542,8906,31706,25035,16713,3515,6002,0,-1167,21267,11388,3972,3445,510,1952,1723,56539,6002,420,32,50149,34212,15937,308551,18.324038854970382,16.253068415723707,11.08795628599486,5.165112129728848
1956:Q3,35876,3568,6064,-264,0,12,-4780,1408,2704,680,492,-272,1364,0,3564,18656,2692,73323,23831,12425,37581,0,-514,48852,7733,9009,32082,24471,16098,3416,5499,0,-514,18851,10404,3396,2953,514,1584,1619,43115,5499,388,32,37260,35544,1716,313182,13.766701749345604,11.897181789705522,11.349311263099413,0.5478705266061108
1956:Q4,30952,-2520,11272,-208,0,-2732,-3708,-3240,2912,1304,2288,560,468,0,3280,19348,-804,73715,23370,12441,39297,0,-1393,49847,7913,9085,32820,23868,15457,3356,6477,0,-1393,13512,10408,1040,2729,1511,-2176,1603,42911,6477,372,28,36090,36791,-701,319894,13.414089042783816,11.281820228739162,11.500997205324264,-0.21917697658510005
1957:Q1,56108,5336,14116,-188,0,8412,3760,-356,2036,2972,-520,-596,892,0,2976,21256,4424,76059,22976,12729,40009,0,345,48751,7759,9457,31505,27308,15217,3272,8504,0,345,19708,9936,940,3195,197,5440,1650,65359,8504,324,32,56563,36089,20474,323789,20.18558932039905,17.46900537221057,11.145838802429978,6.323166569780591
1957:Q2,50840,-2680,12968,-404,0,16968,11692,2652,1876,748,184,328,860,0,2668,22028,-2080,75462,22482,12632,39608,0,740,49570,7911,9518,32110,25892,14571,3114,7498,0,740,16286,8180,2796,3027,1079,1204,1910,62356,7498,-128,32,55018,38093,16925,328145,19.00260317110719,16.766396616078165,11.608587667037437,5.157808949040725
1957:Q3,36244,3540,6980,-408,0,2448,-1020,260,1964,1244,-688,-2576,860,0,2596,23192,300,75397,22333,13132,39332,0,600,50521,8055,9582,32853,24876,14278,3550,6479,0,600,14968,8344,3368,2971,433,-148,1880,48032,6479,112,32,41473,37779,3694,332482,14.446520279778191,12.473781905971489,11.362720387870622,1.1110615181008665
1957:Q4,30260,-7128,13684,-308,0,-1184,-1868,-540,1928,-704,1624,-2212,728,0,2712,23976,-1632,73316,22217,13339,38948,0,-1188,50982,8189,9657,33104,22334,14028,3682,5844,0,-1188,9910,8056,1532,1355,-273,-760,1708,44392,5844,116,28,38460,35589,2871,331974,13.372037400255984,11.585150475376325,10.720417864049594,0.8647326113267311
1958:Q1,55836,9376,15416,-100,0,-424,-3932,-1268,1548,3228,1864,-2164,1304,0,2884,21960,5720,72800,21249,13107,36568,0,1876,52827,8115,9936,34744,19973,13134,3171,1824,0,1876,13476,8092,2772,-1263,2071,1804,1751,64084,1824,132,36,62164,37174,24990,333104,19.2385802658872,18.662183705053348,11.15987799606129,7.502305708992058
1958:Q2,42096,-5796,15464,-400,0,5600,11848,-116,-3404,-2728,2780,-1724,1812,0,3100,21040,220,71528,21341,13062,35863,0,1262,53791,8228,10015,35515,17737,13113,3047,348,0,1262,13176,7944,4228,-1107,2255,-144,1693,48350,348,-516,36,48554,37235,11319,336028,14.388682866687333,14.449392093299402,11.080921827942909,3.368470265356492
1958:Q3,42968,15880,11208,-4,0,-13496,-16432,232,868,1836,1460,-960,1488,0,3176,22112,2104,74738,22842,13203,36568,0,2125,53925,8333,10102,35457,20813,14509,3101,1111,0,2125,18730,10404,4184,781,1129,2232,1653,46704,1111,584,36,45045,39860,5185,343668,13.58992518628361,13.10719185062245,11.598403109978236,1.5087887406442146
1958:Q4,38604,-2260,14308,-268,0,2008,-1328,-1368,4048,656,3732,-3640,1028,0,3132,21776,-1212,78778,25163,13913,37772,0,1930,54191,8429,10184,35544,24587,16734,3729,2228,0,1930,22428,12772,2592,2681,1935,2448,1684,42447,2228,-84,40,40343,41014,-671,348811,12.169179094642871,11.565987108151617,11.758230101688307,-0.1922429935366885
1959:Q1,57832,7360,10408,-136,0,8236,4088,32,2744,1372,1556,-1920,1724,0,3184,23676,3744,82369,27962,13853,40618,0,-64,52789,8579,10141,34035,29580,19383,3712,6583,0,-64,28829,12972,5132,6559,1610,2556,1691,60275,6583,172,44,53564,37871,15693,353222,17.064301437149652,15.164363154709717,10.721585858185504,4.442777296524212
1959:Q2,56264,2052,13532,-236,0,16052,9500,3644,3340,-432,296,-2668,1224,0,3208,23844,-1040,84340,28872,14563,42308,0,-1403,53736,8660,10219,34823,30604,20212,4344,7485,0,-1403,30459,12884,6584,6779,1560,2652,1732,58141,7485,-716,40,51412,38778,12634,360377,16.133488124700186,14.266276843181108,10.76039813861595,3.5058787045651596
1959:Q3,44416,5544,8068,-208,0,4864,-448,2288,2884,140,-1568,-4772,1484,0,3444,26072,1488,84354,28293,14991,43118,0,-2048,54261,8732,10294,35201,30093,19561,4697,7917,0,-2048,31880,13696,5552,8139,345,4148,1882,44511,7917,1068,40,35566,34996,570,362062,12.293855121192108,9.823283782581594,9.665747855339694,0.15753592724190038
1959:Q4,27716,-11636,10104,-176,0,12140,6076,-228,6020,272,-3860,-4592,1244,0,3848,25300,-4656,81723,27535,14587,41040,0,-1439,54657,8797,10365,35461,27066,18738,4222,5579,0,-1439,22169,12588,2704,9415,1022,-3560,1915,34528,5579,-268,36,29253,37220,-7967,366634,9.417617110651442,7.978852566173843,10.151813525204972,-2.17296095903113
1960:Q1,62152,3608,9620,-224,0,17016,12800,-2916,1844,5288,-984,-2908,1272,0,3756,23968,7028,88036,28537,14562,42424,-637,3150,56147,9067,10213,36830,31889,19470,4349,5594,-637,3150,25521,11872,5108,3428,49,5064,2010,70530,5594,88,32,64880,38266,26614,371359,18.992316790868298,17.47087796751946,10.304314692790534,7.166563274728927
1960:Q2,49892,-496,12808,-232,0,14004,4652,2216,5252,1884,1484,-4276,1412,0,3508,23780,-2100,84770,26270,14403,43338,-652,1411,56645,9130,10314,37164,28125,17140,4089,6174,-652,1411,24975,10096,5400,6116,1343,2020,2247,55289,6174,360,32,48787,36543,12244,375715,14.715574483249494,12.9850074310956,9.726255273278948,3.2587521578166525
1960:Q3,37428,5544,13228,-176,0,-9504,-8560,-1944,692,308,2932,-4040,1072,0,3068,23440,1864,83390,25446,14005,42860,-672,1751,57161,9195,10393,37536,26229,16251,3612,5324,-672,1751,23335,11704,5064,3932,1479,1156,2145,42467,5324,84,36,37095,38569,-1474,377847,11.239295481080976,9.817555993934063,10.207570789234795,-0.39001479530073385
1960:Q4,32992,-3520,12088,-116,0,-2332,-4932,-2292,2792,2100,6876,-4672,440,0,2580,23500,-1852,78964,25439,14095,41710,-695,-1585,57547,9265,10447,37798,21417,16174,3648,3912,-695,-1585,19008,11444,3548,2664,1184,168,2566,37968,3912,-316,36,34408,38023,-3615,379358,10.008423680836648,9.069996126916603,10.022986203006132,-0.9529900760895275
1961:Q1,50676,6352,22264,-164,0,-10836,-6464,-3112,-1368,108,1144,-1812,1716,0,2752,23556,5704,77997,25431,14115,39355,-730,-174,57761,9429,10394,37900,20236,16002,3721,1455,-730,-174,25561,11124,6416,1685,3072,3264,2551,47902,1455,-56,48,46551,41746,4805,383653,12.485874057503068,12.133732929973764,10.881186905875882,1.2525460240978807
1961:Q2,60636,552,19444,-116,0,9964,2096,504,3996,3368,6152,-3480,1320,0,3172,23856,-228,80538,25579,14493,40361,-753,858,57933,9509,10442,37944,22605,16070,4051,2417,-753,858,22009,10612,6416,-519,2324,3176,2391,63623,2417,40,52,61218,42594,18624,389432,16.337315202700392,15.719749106437114,10.937467901970049,4.782281204467067
1961:Q3,38032,3372,11780,-124,0,-3956,-328,792,-2600,-1820,880,-4964,1548,0,3692,23812,1992,84608,26942,14672,41535,-773,2232,58343,9595,10506,38204,26265,17347,4166,3331,-773,2232,24177,13196,7068,2157,1320,436,2571,42691,3331,20,52,39392,46222,-6830,396030,10.779721227679815,9.946703527000574,11.671338029947226,-1.724634502946653
1961:Q4,38536,-10948,20048,-92,0,5760,484,52,5968,-744,4632,-8816,2100,0,4172,23736,-2056,88036,27796,15110,43494,-788,2424,58810,9688,10580,38504,29226,18108,4530,4990,-788,2424,26621,15664,5188,5425,1904,-1560,2523,43665,4990,-216,56,38947,46978,-8031,404186,10.803120827813256,9.635836458735653,11.62286669998466,-1.987030241249008
1962:Q1,57384,9336,25572,-172,0,-6512,-2224,-564,-4256,532,1648,-6336,1388,0,4128,24164,4168,90807,28286,15573,44501,-791,3238,59087,9821,10635,38594,31720,18465,4938,5907,-791,3238,26228,12072,5832,3551,233,4540,2418,65294,5907,20,52,59419,47436,11983,409933,15.928084494625125,14.494923465871645,11.57164707403405,2.9232763918375966
1962:Q2,55236,-1424,25672,-116,0,7832,7588,392,-72,-76,5136,-8940,1252,0,3952,23712,-1840,91507,29100,16076,45756,-804,1379,59585,9923,10718,38906,31922,19177,5358,6850,-804,1379,28268,13552,7536,8067,-607,-280,2727,61618,6850,144,56,54680,47463,7217,415826,14.818187292923806,13.14970095488819,11.414149187400499,1.7355517674876877
1962:Q3,45116,-2028,23276,-112,0,-1192,296,440,1116,-3044,2200,-5372,132,0,3648,23372,1192,92364,29010,16364,46241,-818,1567,60176,10027,10801,39310,32188,18983,5563,6931,-818,1567,32539,15376,6828,5235,2512,2588,2649,47414,6931,-60,60,40603,46688,-6085,419178,11.311154358434374,9.686307634608218,11.137989112024009,-1.4516814774157898
1962:Q4,42728,-7708,29412,-76,0,-748,-660,-1696,1536,72,2044,-6376,716,0,3340,23988,-1864,93494,28890,16332,48087,-834,1019,60843,10134,10876,39794,32651,18756,5456,8293,-834,1019,31412,16120,6240,6783,2125,144,2758,46725,8293,48,60,38444,45219,-6775,424193,11.014990034744581,9.062812606074141,10.660006176433841,-1.5971935703596987
1963:Q1,54852,20744,26972,-104,0,-23032,-21960,-1368,-1484,1780,432,-4440,900,0,3828,25764,3788,97002,29914,16266,48758,-852,2916,61464,10192,10995,40238,35538,19722,5271,8520,-852,2916,32564,14544,6192,7859,2653,1316,2797,60623,8520,60,60,52103,46176,5927,429107,14.127668209731809,12.142149446346453,10.760952396488522,1.3811970498579311
1963:Q2,65004,700,26960,-96,0,6480,6744,980,-176,-1068,7400,-7240,616,0,4092,26736,-644,99020,31930,16895,49956,-872,1111,62113,10310,11083,40680,36907,21620,5812,9276,-872,1111,38161,16148,8600,7279,3846,2288,2906,66656,9276,284,72,57168,46441,10727,433739,15.367812413392082,13.18032177962385,10.707130324918902,2.473191454704946
1963:Q3,50384,3972,20968,-112,0,-4168,-428,1012,-2704,-2048,420,-5168,1440,0,4380,27464,1188,100047,32154,17311,50716,-893,759,62927,10438,11182,41267,37120,21716,6129,9449,-893,759,36978,18504,7676,9247,3083,-1532,3038,53564,9449,52,64,44127,45933,-1806,440601,12.157087034981693,10.015239876214464,10.425078472359345,-0.40983859614488133
1963:Q4,58536,-7280,29532,-60,0,10412,6520,-1564,4392,1064,3480,-9616,928,0,4648,28452,-1960,103345,33379,17654,51678,-915,1549,63768,10575,11297,41855,39577,22804,6357,9823,-915,1549,37258,18000,6668,9719,2491,380,2799,63654,9823,156,68,53743,49840,3903,449437,14.1630413590813,11.957837960162207,11.089429664224351,0.8684082959378558
1964:Q1,64428,3964,20880,-68,0,-2244,-3156,-440,2080,-728,5692,-2088,124,0,4336,30072,3760,106397,35088,17929,53716,-944,608,64638,10728,11416,42451,41759,24360,6513,11265,-944,608,37340,17268,5456,10739,1501,2376,2951,71798,11265,124,68,60477,51084,9393,460392,15.594948376788565,13.135956908648371,11.095761872491268,2.0401950361571037
