1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1982:Q2,326119,560,-856,218655,150463,64860,-40,3372,-1560,109320,335984,163750,-3780,-8296,4516,-24014,2720,160804,-1376,116424,83492,29380,584,2968,-160,3192,13372,0,2984,17748,-120,96,0,-492,9136,0,36504,-9865
1982:Q3,367238,540,13540,311598,230862,69084,-252,11904,6452,35108,365020,158101,30076,22852,7224,22442,10496,157664,-10008,134280,83136,40976,596,9572,-372,236,11456,0,2196,20444,-256,96,0,5128,-5536,0,-13760,2218
1982:Q4,365476,524,18688,287427,249163,15564,272,22428,3676,55161,376883,235274,73864,64340,9524,24648,-2528,40377,7120,51565,29769,11248,424,10124,-760,7152,11836,0,4216,-35676,532,112,0,-212,-5508,0,5248,-11407
1983:Q1,383827,680,15456,318574,300250,5924,772,11628,-3800,52917,395434,321653,6308,-4896,11204,17344,-1692,35793,-560,77089,49849,10248,280,16712,-1488,-8536,15716,0,6316,-60312,-244,112,0,-2208,9908,0,16028,-11607
1983:Q2,282140,716,17292,260684,223968,23964,1188,11564,-2796,6244,277830,209204,59672,47768,11904,5238,-6100,14104,5248,-6636,-8720,3744,132,-1792,-792,1892,22764,0,1724,-15064,-572,116,0,244,5180,0,-4288,4309
1983:Q3,300023,704,33380,270242,202734,50736,1104,15668,-2572,-1731,278439,231763,38100,25564,12536,7828,-3612,-1891,-12268,14345,2221,21496,132,-9504,-1840,-1736,2048,0,-2068,-5212,1068,120,0,-2368,6020,0,6252,21584
1983:Q4,83062,656,-31220,176759,76995,78520,504,20740,-2396,-60737,144329,92806,73400,60704,12696,-47256,-3508,-53309,3624,-86601,-80945,-8680,256,2768,-2244,4732,7180,0,6876,5948,568,132,0,880,5596,0,82196,-61267
1984:Q1,519968,628,28584,430278,439346,-24524,-108,15564,-3760,64238,473676,292788,68064,61008,7056,53774,6680,72478,-3140,81214,40286,41524,396,-992,-384,-5116,-1432,0,6168,-6104,-4,-1468,0,340,2404,0,-20108,46292
1984:Q2,406626,896,13364,354682,266462,76280,-788,12728,5800,31884,399957,304101,-12964,-20136,7172,-53060,4860,87508,9628,54632,19652,32644,504,1832,3244,2380,1020,0,4624,11860,-404,12,0,-804,1316,0,69512,6669
1984:Q3,277364,496,23824,258678,253138,-4968,-776,11284,10364,-15999,264595,189284,-23672,-32436,8764,50806,18016,37945,11280,24137,16889,7688,532,-972,-996,-2616,19368,0,7388,-16052,1156,544,0,-148,-6116,0,-7784,12769
1984:Q4,355055,724,-12916,320596,266916,41752,-96,12024,15640,31011,351603,247840,47016,36228,10788,-22772,6580,59359,-10036,50967,39843,13692,468,-3036,256,7480,11924,0,-3084,6788,1576,-772,0,1664,-7404,0,13580,3451
1985:Q1,373608,680,43516,339617,289221,31720,516,18160,-13792,3587,350215,246212,-6212,-20540,14328,39400,18444,44687,-6104,33891,5803,24448,476,3164,2424,-6160,21636,0,9860,-10132,-1608,344,0,132,404,0,7684,23393
1985:Q2,203334,780,14196,186948,172500,-9524,1000,22972,19656,-18247,217981,147455,15592,-1184,16776,-36300,3632,55385,-5160,42873,49977,-12812,524,5184,76,412,26580,0,4304,-15628,812,1488,0,-744,372,0,32216,-14647
1985:Q3,308073,564,4656,276013,186481,57952,1228,30352,-8728,35569,283622,153211,67156,47832,19324,-33338,11984,51533,3964,42329,12665,22472,452,6740,2444,3328,-2924,0,-3420,-2856,3444,3400,0,1796,28,0,33076,24452
1985:Q4,254562,512,33780,175938,179978,-25344,1188,20116,20824,23508,286069,7530,106120,77620,28500,78176,5204,8976,5852,-18644,-30928,4436,248,7600,14280,20368,-11052,0,-3868,-6892,484,-128,0,8300,276,0,80064,-31507
1986:Q1,265078,620,27776,222850,167526,34188,1364,19772,9280,4552,260542,244113,11576,2876,8700,-33522,4888,20108,-10664,32696,-2624,27772,116,7432,1412,-5964,3932,0,2776,1860,-92,2004,0,-2976,-4876,0,13380,4535
1986:Q2,275449,492,3612,238153,157441,50204,1720,28788,-9348,42540,301546,214780,16548,12096,4452,-34340,8480,82520,-628,61300,4800,46572,16,9912,2176,3608,2140,0,44,10580,1376,64,0,-1224,3084,0,13558,-26097
1986:Q3,553338,432,42552,381159,224455,122176,1572,32956,6864,122331,541185,225830,15916,13756,2160,21238,-5236,213635,1984,184107,81635,90600,-140,12012,1996,1020,9632,0,-9156,11888,848,5892,0,3884,1540,0,69801,12153
1986:Q4,735923,516,55692,535656,284800,222648,924,27284,7652,136407,743049,290703,43872,42036,1836,39164,256,252939,4356,207967,76471,130216,-368,1648,3344,9292,20056,0,-4484,-788,3980,-1008,0,9016,1208,0,116115,-7125
1987:Q1,-173059,672,-5612,-68311,-47387,-44524,220,23380,-7052,-92755,-188105,10400,2972,3172,-200,-51608,1124,-103999,16000,-113175,-79171,-37444,-632,4072,204,-6216,-13388,0,-7444,18488,-2368,1220,0,-6700,9380,0,-46994,15047
1987:Q2,387824,616,11516,304263,190223,94920,-528,19648,-15456,86885,377454,188787,8352,10900,-2548,35846,3620,87057,-17132,109505,-6951,109392,-984,8048,2476,-1196,212,0,-4232,6816,-2796,-600,0,-1852,-4144,0,53792,10370
1987:Q3,343695,468,12576,325050,221994,97744,-580,5892,-12800,18401,302905,192288,956,3176,-2220,-14166,-2908,36233,-1432,27957,19341,19508,-1004,-9888,1940,2040,-10928,0,-1292,6172,-1092,3452,0,-1376,10792,0,90501,40790
1987:Q4,379039,684,17536,273976,137864,131776,56,4280,8896,77948,371782,186683,12012,11260,752,-9298,11976,64896,9740,55168,-17124,73640,-720,-628,1300,2416,-20228,0,1316,24896,5976,3728,0,4412,-23828,0,105514,7257
1988:Q1,217869,648,10436,209685,264165,-67808,472,12856,16772,-19672,238413,217325,29160,13796,15364,23762,6892,3800,-8052,-3200,-11124,1316,-664,7272,-5284,-8812,2368,0,2212,12624,-936,1880,0,8832,2168,0,-42526,-20544
1988:Q2,420554,648,19472,334920,234432,82420,784,17284,-17104,82618,411953,199474,37692,23852,13840,-5028,-600,78014,464,46046,-11502,64608,-592,-6468,-1400,-316,27484,0,1388,-9636,-852,3832,0,5180,5824,0,102401,8601
1988:Q3,433966,544,42480,293224,200036,81116,1004,11068,-2248,99966,419769,176580,25720,17732,7988,17606,4648,156858,2496,139914,64258,83740,-536,-7548,-2940,-3616,3932,0,1056,13144,644,-812,0,-3116,6156,0,38357,14197
1988:Q4,209730,648,-3296,166388,58752,98108,1136,8392,-2704,48695,214479,121957,5508,-1876,7384,-6582,-1048,14383,444,-3733,10331,-7276,-504,-6284,-5112,-476,21216,0,1208,13944,1020,1704,0,-3128,-12704,0,80261,-4748
1989:Q1,223119,948,2822,89816,42298,47800,1208,-1489,-5424,134957,156509,83209,-17965,-23373,5408,-46541,-6520,133320,-1832,70868,-86,77564,-436,-6174,3824,-916,32600,0,1128,8692,-1820,1468,0,-2312,21620,0,11005,66610
1989:Q2,9991,868,40839,59611,127510,-66800,1228,-2327,15124,-106451,-43241,29061,22305,24241,-1936,20711,1721,-27062,-9448,-51166,-4894,-40500,-388,-5384,4144,3108,28132,0,812,1644,1196,2904,0,3676,-12064,0,-89977,53232
1989:Q3,218534,688,-10761,178832,73204,85484,1556,18588,7512,42262,188575,98412,-40335,-38371,-1964,-26813,-7261,153243,1948,89691,1974,86780,-332,1270,4644,2668,26864,0,548,33920,-924,1556,0,-3928,-3744,0,11328,29959
1989:Q4,359463,808,5043,227343,98963,106564,2188,19629,10256,116012,343648,76060,46343,37535,8808,-6987,5180,158326,1996,123766,81562,40616,-284,1873,18852,15512,20636,0,332,-20108,-3540,2368,0,4036,-5524,0,64726,15814
1990:Q1,-266427,856,23759,-145754,-35379,-128836,3224,15236,-6076,-139212,-285641,39449,-11163,-19807,8644,-24967,-10849,-199897,4144,-177773,-125085,-51504,-156,-1027,-5316,1112,4484,0,152,-24568,-916,-224,0,1548,-2540,0,-78214,19214
1990:Q2,123712,900,22928,30308,11405,-524,4652,14775,-1772,71348,65759,78845,34,-4262,4296,-18250,1716,-35270,-5572,13218,-31437,40748,4,3903,-4084,-4768,-12492,0,8,-18740,716,2956,0,-5676,-836,0,38685,57953
1990:Q3,173844,620,30182,62661,17693,26548,4188,14233,10920,69461,123895,29030,-19899,-28915,9016,33316,-8847,-17313,4804,3519,-2053,6332,-40,-720,-7888,-7276,-8072,0,988,-8684,-488,2128,0,8612,-4956,0,107608,49949
1990:Q4,389073,724,33676,206218,64530,128924,1808,10956,16008,132447,381073,66288,47416,49816,-2400,27435,2488,157276,136,217284,181512,36532,-320,-440,-10484,-8164,-3972,0,628,-30384,-12,2592,0,-2524,-7824,0,80170,8000
1991:Q1,-45149,688,3198,-47453,-50944,-6416,-628,10535,1900,-3481,-4753,51966,-61884,-61312,-572,59164,-5296,-69261,2164,-127453,-133400,-3296,-600,9842,-4744,-2588,-10684,0,25396,51156,-616,2864,0,-320,-4436,0,20559,-40397
1991:Q2,-105643,700,-7395,-90319,-51697,-60896,-3196,25471,-428,-8201,-120277,-128720,34834,24610,10224,-65994,3914,19280,-3980,29148,-8590,32284,-932,6386,-1480,392,8296,0,-8616,-9784,-400,3136,0,1704,864,0,16409,14634
1991:Q3,154563,548,33829,116376,-40421,137948,-3456,22305,9776,-5966,83404,-41380,51407,50911,496,-11854,-7298,44760,-5484,52532,54640,-1380,-912,185,-1508,1124,18032,0,-15720,-1916,-408,7248,0,-6092,-3048,0,47769,71158
1991:Q4,259347,512,57597,162714,-16164,156632,-1444,23690,-7152,45676,400242,-8099,33246,26042,7204,134254,-9903,158476,1404,153984,48392,100152,-556,5996,-812,72,4956,0,-1220,-7008,-2192,7056,0,4480,-2244,0,92268,-140895
1992:Q1,-326942,484,-21126,-190400,-95599,-120756,380,25575,14472,-130372,-280837,-86619,-1169,-22905,21736,-92921,-8138,-92896,-1272,-144238,-22044,-128868,-328,7002,-144,-112,-20388,0,-1076,-17210,256,-860,0,-860,93008,0,905,-46105
1992:Q2,-96835,472,-9490,-97460,-126371,11520,1916,15476,-1792,11434,-104064,-81897,17483,6943,10540,10312,-6482,-25184,2036,20605,11299,12312,-400,-2606,444,-468,-18236,0,1708,-12993,-1040,-3696,0,1348,-14892,0,-18296,7229
1992:Q3,101219,340,128841,320,-98767,78060,2168,18859,3988,-32271,64156,8978,21416,6288,15128,78974,9216,-86754,-3176,-93227,-101191,13828,-452,-5411,540,-900,-12540,0,6104,17597,-328,4320,0,1352,-6496,0,32326,37063
1992:Q4,47579,436,-31353,87841,-4446,64652,1144,26491,-20340,10995,59906,63914,-20590,-22558,1968,-55333,-11188,51829,13876,64127,56984,904,-668,6907,128,-1068,-17464,0,-3448,5514,1076,2844,0,-1136,-12620,0,31274,-12327
1993:Q1,-446858,504,56707,-369497,-259748,-111720,336,1635,-8148,-126424,-435776,-288120,58267,45903,12364,-17972,7038,-157738,-11120,-177209,-63594,-107044,-524,-6046,-204,396,4508,0,-120,-8774,-740,5192,0,2876,27456,0,-37251,-11082
1993:Q2,5220,528,54464,24347,33427,-19796,-264,10979,-15460,-58659,-8367,-33388,56500,51964,4536,65766,2482,-71827,2232,-54971,-11260,-41900,-600,-1211,-480,396,-1068,0,5212,-1552,-640,3252,0,-856,-23352,0,-27900,13587
1993:Q3,107547,644,42892,112248,78623,16312,-432,17744,-8464,-39773,170563,125799,-26060,-27340,1280,14805,6225,-54182,8344,11195,-10449,25276,-328,-3304,-520,400,-17328,0,-2864,-71421,1808,5620,0,540,10044,0,103975,-63016
1993:Q4,165205,916,6645,163640,74099,69672,-172,20041,3960,-9956,119940,-87795,74056,65668,8388,21588,-16490,28736,-11484,12789,15460,-7872,264,4937,-344,396,1016,0,-4660,28278,3280,4568,0,5096,-10200,0,99844,45265
1994:Q1,-41723,892,39222,-23578,-38774,3852,1108,10236,-7316,-50944,11652,-130972,50481,30789,19692,-12656,11977,-26260,-120,-24854,1601,-8916,-352,-17187,-176,424,7400,0,-6016,-18638,-1612,1116,0,10528,5688,0,119083,-53375
1994:Q2,3177,840,13719,-81448,-55350,-36872,1984,8790,-14844,84910,-82877,-173699,42451,29359,13092,-67370,213,901,2104,-37328,-12875,-17780,120,-6793,-176,432,2416,0,-124,10950,-564,2736,0,-2928,23384,0,114627,86054
1994:Q3,171319,1004,34357,104214,6983,85640,1168,10423,-11180,42924,99357,138410,1245,-19235,20480,-18950,1064,-6885,-3260,17623,-31999,48004,520,1099,-176,420,-3964,0,-6164,-305,280,2300,0,-2888,-10752,0,-15527,71961
1994:Q4,251571,860,17374,144803,94760,45516,2376,2151,2336,86198,207340,-47925,21635,11271,10364,9949,5498,39125,-4900,-14348,-16949,13960,1508,-12867,-176,428,23732,0,-2212,31045,-1248,4232,0,-5748,8320,0,179057,44231
1995:Q1,142163,928,51746,11053,35466,-20660,244,-3997,-4792,83228,111364,124529,-94395,-121235,26840,-8232,12479,58946,2996,609,1138,5924,-872,-5581,-160,-464,11804,0,-6180,29145,-244,6792,0,7872,6776,0,18038,30798
1995:Q2,616236,1056,25822,371261,194528,153260,3244,20229,12524,205573,554366,175307,50059,37771,12288,73670,6017,165361,1168,138556,5651,128508,1024,3373,-164,-460,5116,0,-1576,27809,1308,2748,0,-2880,-6264,0,83953,61870
1995:Q3,2809,1080,-15387,108142,70514,7012,992,29624,-4020,-87006,51926,131462,37787,18207,19580,-34968,8341,-20659,252,-120764,-68277,-58956,-1256,7724,-160,-456,10420,0,8292,58769,-2020,968,0,6072,17968,0,-70039,-49117
1995:Q4,-26698,972,6463,-59194,-50813,-30084,5960,15743,9328,15733,-2759,-74631,108305,95745,12560,-18620,10947,-122020,-1052,-108478,-66821,-43028,1704,-332,-164,-460,8528,0,-2732,-14651,1656,7240,0,-4156,-7752,0,93261,-23940
1996:Q1,85558,1064,25850,14604,57773,-65036,996,20871,-6996,51036,336,278052,-90254,-109710,19456,25490,9924,-87588,-60,-104906,-7066,-101744,-776,4680,-160,-928,9348,0,4280,2994,-1792,2120,0,-3300,4816,0,-135288,85222
1996:Q2,122080,1004,7933,96509,87866,-8932,3480,14094,-10596,27230,120683,35750,81726,51054,30672,-8826,6310,20603,1392,5794,4856,220,360,358,-4220,-484,13488,0,52,753,-1412,1912,0,9612,-6284,0,-14880,1397
1996:Q3,530374,896,31912,332247,282129,38372,-1500,13246,2004,163315,435416,180227,86025,66473,19552,29743,5296,119609,7572,28639,21844,6044,-264,1015,1332,-500,10440,0,-1176,59694,-424,5632,960,-108,7548,0,14517,94958
1996:Q4,547006,888,21664,268533,57161,194140,244,16988,10672,245248,508584,-134132,181435,160219,21216,7878,3030,256878,8328,124402,66339,66660,-64,-8533,-604,-1776,4100,0,1196,74924,700,11488,200,1404,32516,0,193496,38421
1997:Q1,629522,764,42710,269318,152840,110900,-2492,8069,-11140,327871,420594,82524,64353,33273,31080,21021,11587,150882,-3276,150837,36651,106444,-120,7862,1180,-3540,10996,0,2460,32217,1560,184,376,-3564,-38548,0,90227,208929
1997:Q2,484237,468,57339,339271,215130,101384,-1248,24005,-8812,95971,496316,166597,63213,26349,36864,-29680,6225,201223,-5220,77810,-32433,105988,208,4047,-684,2264,13160,0,2992,69381,8320,9344,-48,13272,10632,0,88738,-12079
1997:Q3,196139,512,3211,104812,74832,7988,1200,20792,9148,78456,153265,183840,10445,-20103,30548,-6334,16631,-64538,-9084,-86605,-52367,-28148,-132,-5959,424,-1536,2212,0,-7176,42995,-4240,-8752,500,3492,3232,0,13221,42874
1997:Q4,925013,564,38304,516372,330167,153648,4224,28333,10804,358968,848645,54283,70681,36929,33752,31011,-1791,281808,10552,255216,145927,109864,-164,-410,268,18164,23008,0,-6376,-28573,-372,12524,-276,10924,-13252,0,412653,76368
1998:Q1,-174721,484,28311,-52228,124798,-187220,2688,7506,17220,-168507,-100601,-50278,286852,247068,39784,43122,21646,-194626,-4608,-199413,-92406,-111160,-132,4284,-2104,-18916,28976,0,2340,-26817,-10900,9388,664,12980,13784,0,-207317,-74120
1998:Q2,523839,488,81122,311801,238715,39536,2856,30694,-2860,133288,398602,78301,-10386,-50190,39804,90406,13675,104778,2856,37692,15577,9428,752,11935,-460,5136,32104,0,3648,17710,6848,4496,140,-10768,5376,0,121828,125237
1998:Q3,523914,820,-6623,267817,91412,146088,2776,27541,4736,257165,385549,25107,4373,-47499,51872,-115579,9319,204701,-10104,130931,-69080,194728,-536,5818,828,-1752,26920,0,940,82343,-12068,-13004,-512,14796,-14616,0,257628,138365
1998:Q4,365178,1116,20450,372092,309753,-10572,4252,68659,8296,-36776,612492,345628,-13283,-69239,55956,-59506,15896,127748,7040,25840,51634,-36552,2444,8314,852,4044,27344,0,9960,7764,20776,8812,112,-2224,17428,0,196010,-247314
1999:Q1,-155373,1472,60386,-199227,-48543,-140356,-7492,-2836,-13504,-4500,-217096,-126018,69254,23178,46076,86682,13762,-63354,-8992,-85026,-17238,-73292,-1536,7040,-3180,-11432,-37012,0,-8748,73619,-1304,14196,-164,-3676,8364,0,-197421,61723
1999:Q2,527124,1464,57446,351675,281917,28376,4296,37086,-16696,133235,445735,-1529,150864,98692,52172,27914,14706,114642,4016,41104,-61471,99088,-1396,4883,1768,5204,-31980,0,5328,55885,16140,5456,-32,12728,-976,0,139137,81389
1999:Q3,286018,1812,40883,258515,177062,60656,1568,19229,-5752,-9440,280814,134988,88583,23367,65216,14689,23176,13838,216,1259,-43627,39352,1568,3967,-2064,-480,-44924,0,1556,40215,-18180,-2096,344,-3628,41620,0,5540,5204
1999:Q4,1189430,2224,356177,733098,412520,295104,8152,17321,4772,93159,1315058,246453,223151,153983,69168,118796,15768,450253,-2592,356156,191558,136676,2384,25538,4436,6156,-37284,0,-2292,6557,52916,19348,356,7908,38588,0,260637,-125628
2000:Q1,23583,3960,-318806,-87854,71903,-164320,-580,5143,-8096,434380,-200727,199466,87318,-13250,100568,-98540,13728,-163299,1252,-99241,-152167,77008,-1324,-22758,-4396,-5712,-9972,0,10332,26777,-43704,3772,-456,-6376,-35952,376,-239400,224311
2000:Q2,751721,3904,17495,682686,635362,29164,4988,13172,-8736,56372,572492,151551,166525,74013,92512,-54100,11474,40706,2772,23774,77705,-29796,648,-24783,-1596,6644,-32268,0,8588,3500,3804,2868,-404,-596,23620,0,256336,179229
2000:Q3,213674,3328,5795,232970,192041,5816,4280,30833,2828,-31247,303890,23832,142820,80352,62468,-15688,23591,88589,1504,38327,-11970,29916,-2648,23028,1504,-8084,-24380,0,6588,35070,21596,10624,320,-24748,30268,0,40746,-90215
2000:Q4,1008791,3328,31841,580814,427290,110880,2192,40452,14092,378716,877628,344007,161085,110649,50436,-97256,-3261,338858,1516,221989,121920,77548,1164,21357,2560,5428,-11276,0,-23012,72169,-10492,8440,192,38192,31828,1324,134196,131163
2001:Q1,569659,2512,16525,166572,-3496,114692,-1272,56648,51132,332918,588591,607758,-294884,-325896,31012,85322,511,365493,-2312,161129,24039,125804,628,10658,27676,52928,-52904,0,-7012,220989,-18508,5340,252,2500,-24584,0,-175609,-18932
2001:Q2,275766,1596,35329,403453,305286,33032,10228,54907,-15080,-149533,433991,284873,3857,-21115,24972,-7255,37889,44484,-1920,10366,-38496,26532,-576,22906,4976,26276,-27772,0,21788,-21850,9488,-9868,176,24448,8376,0,70142,-158225
2001:Q3,350704,1148,115364,300959,362141,-145984,4928,79874,13208,-79975,344940,278245,-37697,-33621,-4076,34760,19884,31596,-868,-78604,103370,-167568,3196,-17603,7624,22604,-32932,0,-212,16221,15220,8776,-312,66644,7436,0,18151,5764
2001:Q4,1400548,240,22486,1097335,636320,373100,34944,52971,-15016,295503,1504996,302777,148964,169140,-20176,82403,12568,607836,1516,331335,-13784,298440,1004,45675,-2024,28080,-35420,0,-7812,258313,35388,21772,372,-26428,6796,-4052,350448,-104448
2002:Q1,402174,2452,62704,294193,-81114,321320,3280,50707,11084,31741,299802,293046,53428,36192,17236,-93558,9101,100281,-1608,129932,45392,136532,-4348,-47644,15608,-7556,-5400,0,5788,-11302,-14888,-5740,304,-16264,11408,0,-62497,102373
2002:Q2,384874,1460,55333,148051,157739,-68452,14820,43943,-8700,188731,407053,109353,1239,-15929,17168,20071,38052,125828,948,109744,-21504,75356,4172,51720,1100,-2152,-6664,0,-7216,-18100,23248,6192,-548,10544,8732,0,112510,-22179
2002:Q3,341378,1280,30260,452791,628940,-220280,-4800,48931,9548,-152501,340502,587988,-84196,-101340,17144,134997,16050,-225490,3024,-214012,-46568,-191852,-80,24489,33636,36920,-5360,0,1304,-92047,22600,12684,192,-20920,-3512,0,-88846,876
2002:Q4,621908,1128,35676,442295,448901,-27716,-33308,54419,-4136,146945,644119,118398,107356,90212,17144,-50878,-1583,100541,-716,90156,-56684,155956,-892,-8224,1408,-34816,2688,0,9532,3965,-18856,11628,776,15028,19156,592,370284,-22211
2003:Q1,1550177,804,69139,870496,916291,-105604,392,59418,11528,598210,1371999,343833,170119,119323,50796,-68877,32131,493504,-5976,535468,556261,-57300,2260,34247,17148,35348,-16144,0,6852,-120988,16620,11716,372,-164,13252,0,401289,178178
2003:Q2,924678,1068,23323,595075,393003,140208,4872,56992,1404,303808,843797,381044,213609,162861,50748,28999,36374,154759,4958,214218,4996,186028,-216,23410,24620,2768,14024,4,-11792,-125729,9220,22048,-32,-2388,2840,0,29012,80881
2003:Q3,-119964,832,46250,172718,188814,-62356,2276,43984,-9620,-330144,45985,192566,165121,114361,50760,-35078,22642,-232458,-2340,-167399,-103926,-50420,-2392,-10661,-3728,9960,-9152,0,-32,-46306,-30448,25492,2376,1112,-11992,0,-66808,-165949
2003:Q4,312292,780,9296,348736,397121,-76532,8668,19479,-31732,-14788,205286,105053,181767,131035,50732,5963,17837,-114933,-120,-154797,-46181,-86000,284,-22899,-2512,2356,22684,144,18796,-100592,26640,13660,-1796,13220,47512,-128,9600,107006
2004:Q1,1353392,1172,24727,795885,496440,289116,3120,7209,17556,514052,1193634,394727,229466,135318,94148,-71995,46048,550416,-478,448310,105008,345568,2864,-5129,-13808,-5972,-8664,140,21900,-280,19704,-6668,1548,23200,71484,0,44972,159757
2004:Q2,1134511,1112,73822,798701,711784,38456,5048,43412,-23320,284196,901120,481990,141529,48017,93512,8747,-10404,114526,3834,52854,315,60748,-1816,-6393,-40,19064,-34112,144,-11484,91433,12792,-13644,5748,1864,-13928,0,164732,233391
2004:Q3,517705,960,28811,456782,308811,103752,7536,36683,-4780,35932,460076,281576,207265,113709,93556,-63246,19063,48558,6570,65044,13944,46468,1412,3220,13060,752,7672,144,4076,-56716,-55540,5712,-4008,-1392,63184,0,-33140,57629
2004:Q4,1137501,620,-2011,816540,545037,238936,3132,29435,2060,320292,911828,367027,13748,-79820,93568,-12372,-23395,235604,-4534,97459,-129491,224980,1688,282,-34124,2524,16928,272,-14624,34983,90632,4044,6332,39204,-3704,212,331216,225672
2005:Q1,433079,444,56275,272767,315750,-43972,11844,-10854,-792,104384,154099,384327,127215,27155,100060,37406,49794,-304835,-9232,-236305,6614,-204384,460,-38996,-7540,-23160,-6116,276,-3268,19098,-29952,-10688,1112,-8196,9944,-808,-139808,278980
2005:Q2,1162082,280,22565,895826,633235,222452,15172,24967,-1468,244880,1548483,524903,151552,51456,100096,-37936,34013,410734,2244,362519,193220,167696,712,892,-3172,23616,14788,272,1896,-10846,-7140,5936,124,-7520,28052,-36,465216,-386400
2005:Q3,1653241,-744,33117,1198880,726298,410212,5432,56938,5292,416696,1540317,574423,210276,110068,100208,-21343,1217,462140,5686,416836,33338,367112,-2080,18466,-912,6784,14492,272,-7384,121263,-20080,-66152,3804,-4896,-8604,1032,313604,112924
2005:Q4,406014,444,22259,474363,310909,141580,6136,15738,88,-91140,491208,30702,393261,293001,100260,26225,1816,-39749,1604,26246,-62404,96256,-936,-6670,-8100,-22032,1940,112,11188,-42151,7256,-924,-1868,-5072,-8376,428,78952,-85194
2006:Q1,1498936,5356,38289,889822,539242,350568,8988,-8975,9448,556020,1227562,770253,-54427,-149327,94900,-56773,30878,262363,-4424,212659,41316,208848,-1388,-36117,30592,9000,2140,112,-2368,-40712,3976,-4172,2996,24244,23288,5032,275268,271374
2006:Q2,1318314,444,31226,768793,796200,-48176,808,19961,-11708,529560,1087489,566492,-117894,-212866,94972,69205,45973,332377,-2028,119307,168017,-51640,-268,3198,32076,2844,2144,112,-1548,22151,85396,-14576,-3704,48528,42060,-384,191336,230825
2006:Q3,755543,376,-14007,750466,319106,385004,-3736,50092,-1556,20264,494952,457456,-2864,-97820,94956,11319,31206,-9249,630,34453,-242605,248448,-684,29294,19068,2700,2140,108,-980,25696,-83884,-8676,3576,-19500,16888,-1468,7084,260591
2006:Q4,1208091,488,37484,814959,409709,355164,6548,43538,3048,352112,1238925,-12393,230313,135321,94992,-46384,5711,526530,1936,413206,38056,364488,1808,8854,-45604,21164,2136,-52,236,68033,-4284,1812,112,42808,27596,-2568,535148,-30834
2007:Q1,1549713,660,-26082,872875,432561,429224,-3028,14118,15076,687184,1377429,955112,-41674,-123498,81824,-46386,17619,476830,-1472,521884,154964,377596,-840,-9836,7300,12756,4840,-56,-5500,-109730,13676,5888,2328,5516,17328,2072,15928,172284
2007:Q2,1110625,600,28910,425276,215458,164680,8208,36930,-6464,662304,893133,272663,143957,62149,81808,-4335,32208,173671,-706,78846,29389,46124,-2232,5565,5268,-8312,4840,-52,5688,5891,8632,3876,-156,31864,38540,-548,274968,217493
2007:Q3,1405850,472,37868,1029942,508707,462856,8712,49667,13720,323848,1072217,219747,-39368,-121184,81816,183863,50263,531556,3218,-35179,-130872,95444,3056,-2806,48888,27548,4840,-56,-12384,415252,38308,5448,280,-14120,51652,-2140,126156,333633
2007:Q4,1841272,168,54460,1019864,681426,311388,1720,25329,-14648,781428,1737576,355570,-38679,-120435,81756,-30903,45322,1029290,293038,596294,198219,397080,-1216,2210,-9640,-19820,4832,132,120,132666,-20416,-9032,-172,74740,-19444,5992,376976,103696
2008:Q1,1772028,-8,-76939,1356547,1174021,138040,-3772,48257,23156,469272,1999465,800953,-248646,-251370,2724,12928,-13233,1424431,237466,682351,387269,252220,184,42678,-3384,20884,-10448,132,8716,393614,-30484,12320,7980,69592,34628,1064,23032,-227438
2008:Q2,-882408,-8,90237,-259177,-195979,-133864,7284,63382,-26220,-687240,-249851,-108872,-13587,-16207,2620,-51938,35972,415510,415546,-420474,-344009,-64040,276,-12701,-5460,37224,-10448,132,-496,91986,96104,-800,-6272,-27092,246748,-1188,-526936,-632557
2008:Q3,3641063,-8,2245848,1332959,1499887,-189588,9564,13096,27856,34408,3988744,681322,-283347,-285851,2504,1260226,17748,1807948,1408486,397168,624456,-208244,-340,-18704,11140,9752,-10452,128,-2332,-111214,44968,-3712,12180,185316,-133292,-188,504848,-347681
2008:Q4,5576257,-4,2829894,2086239,2174258,-134316,-8760,55057,-46380,706508,5839395,704221,-513151,-515527,2376,41287,69438,4299293,2098952,2083651,1849365,200020,2388,31879,-61920,38036,-10448,812,15880,-10090,135532,-3680,-14956,-167424,183304,11644,1238308,-263138
