date,LA384104005.Q,LA154104005.Q,LA153165105.Q,LA153166000.Q,LA144104005.Q,LA104104005.Q,LA314104005.Q,LA214104005.Q,LA794104005.Q,LA264104005.Q
1961:Q3,774513,231794,150111,62079,209878,149684,256548,76293,38072,23646
1961:Q4,788596,237897,154027,63435,214708,152991,258176,77815,40940,24413
1962:Q1,800217,241979,157045,64323,217941,154537,260736,79561,39917,25173
1962:Q2,813930,247269,160433,66340,223077,157694,262629,80955,41317,25643
1962:Q3,825118,253278,164277,67648,227388,160115,262285,82167,43018,25591
1962:Q4,842334,259748,168307,69344,232772,163470,266044,83770,46345,26268
1963:Q1,855287,265529,171943,71309,236663,165593,268037,85058,44018,27109
1963:Q2,871505,273045,175980,73129,241370,167943,270284,86806,47671,28392
1963:Q3,883320,280355,180606,75440,245714,170151,269330,87921,50338,28674
1963:Q4,900618,288207,185106,77870,252160,174188,271008,89243,54125,29353
1964:Q1,914262,295158,189423,80555,256246,176590,272343,90515,53177,29929
1964:Q2,930822,302628,193538,82769,262035,179981,273916,92243,57749,30755
1964:Q3,947190,309327,198039,85288,267791,183450,276082,93990,58175,31319
1964:Q4,965255,317126,202335,87352,274196,187929,278309,95624,61043,32937
1965:Q1,981834,323883,206582,90344,281387,193189,279189,97375,60637,34125
1965:Q2,998873,331135,210488,93294,288852,197975,279373,99513,66508,34535
1965:Q3,1013004,337889,215034,95625,296185,202871,277467,101463,65816,34675
1965:Q4,1034076,345859,219449,97489,303791,208197,281252,103174,70150,35305
1966:Q1,1053481,352482,224085,100006,313353,214566,282763,104883,70819,36010
1966:Q2,1073035,359679,227382,101373,323873,222361,282469,107014,77287,36598
1966:Q3,1086123,363409,230300,102281,331875,228551,282300,108539,76635,36568
1966:Q4,1102733,368389,232742,103422,338206,232928,286101,110037,81898,37277
1967:Q1,1119242,371777,234955,104389,346567,239692,289406,111492,80112,38650
1967:Q2,1131871,376520,237210,105421,355877,246049,285886,113588,79412,39594
1967:Q3,1154358,382306,241614,106874,364082,251644,292284,115686,81315,40500
1967:Q4,1190912,402313,245974,108567,370865,255254,300362,117372,85926,41452
1968:Q1,1204740,397669,250119,110508,380965,263718,306990,119116,85671,42391
1968:Q2,1228186,407891,253803,112911,391182,270520,308055,121058,91323,42715
1968:Q3,1253286,415109,258280,115599,401548,278279,313637,122992,93921,43302
1968:Q4,1280418,426687,262934,119324,413387,286805,314219,126125,98996,44127
1969:Q1,1299620,429576,265603,122479,424567,295198,315342,130135,97066,44892
1969:Q2,1317927,438266,269871,125419,438856,304812,307375,133430,106380,45858
1969:Q3,1341131,443618,274629,127326,451410,313228,309983,136120,109957,46453
1969:Q4,1366289,453267,278689,129231,462182,320277,312583,138257,122797,47121
1970:Q1,1381280,451256,277740,130530,475164,340259,314500,140360,127173,47790
1970:Q2,1404938,453903,278865,131338,490307,351045,317154,143574,132327,48343
1970:Q3,1431689,459349,281771,132924,502770,358709,323589,145981,132533,48693
1970:Q4,1458429,467157,286015,133660,513928,365371,327027,150317,139512,49993
1971:Q1,1484628,475664,291470,138226,525351,372803,328923,154690,137222,51254
1971:Q2,1523922,485229,295430,141017,540560,380947,339263,158870,136894,52322
1971:Q3,1560849,496017,302126,144770,554738,389654,347468,162626,139706,53265
1971:Q4,1599204,511303,309454,149243,566409,395247,354745,166747,150061,54179
1972:Q1,1634979,524671,317906,153380,582869,406926,356270,171169,150912,55548
1972:Q2,1673365,540098,324324,158564,600714,415269,358194,174359,156528,55827
1972:Q3,1712122,553144,333264,162799,617329,424654,364207,177442,160460,56159
1972:Q4,1764103,571260,343552,168757,639383,436833,372750,180710,175760,57569
1973:Q1,1818610,590517,353598,176766,665674,452647,378186,184233,175918,58848
1973:Q2,1864038,604553,361862,183161,692830,468869,379668,186987,189218,60598
1973:Q3,1908445,620759,371042,187983,718200,489095,379074,190412,201220,60514
1973:Q4,1949734,636669,382218,192980,736457,506316,381829,194779,215065,62240
1974:Q1,1991562,649073,392321,196565,761378,522214,381929,199182,215509,62694
1974:Q2,2043125,664213,400813,199933,790645,540484,385635,202632,229930,67122
1974:Q3,2089371,678860,410404,202348,814076,553784,390234,206201,246173,69951
1974:Q4,2128604,691463,419339,201926,832471,565222,396457,208213,258627,73051
1975:Q1,2166769,700256,427459,202454,843284,570317,412756,210473,254517,76701
1975:Q2,2213099,708387,435481,199092,851443,572345,440620,212649,255697,78831
1975:Q3,2262670,724097,445509,202035,859902,576400,464591,214080,253280,81149
1975:Q4,2320336,747467,459087,206996,867584,579983,485926,219359,269285,86086
1976:Q1,2379293,767638,474026,211812,880679,584730,505967,225009,269980,89672
1976:Q2,2445670,788201,485633,216337,897828,595318,528227,231414,276394,92920
1976:Q3,2507335,808287,500528,221278,916964,607149,546903,235181,282284,96583
1976:Q4,2571117,836251,517073,228961,937324,620242,559712,237830,302149,102217
1977:Q1,2643297,864809,536389,236168,965753,637665,572404,240331,300148,104063
1977:Q2,2717707,897922,556489,246398,992711,653208,580529,246545,317054,106663
1977:Q3,2810271,931219,579584,255421,1019771,670302,607628,251653,326978,110736
1977:Q4,2899617,966499,602997,264892,1054347,694536,622606,256165,357794,112420
1978:Q1,2990911,1002802,627038,274811,1085605,714469,637105,265399,361273,116886
1978:Q2,3093601,1046971,650880,289868,1120805,734520,650943,274882,387833,120044
1978:Q3,3197670,1088856,678732,301165,1151793,749186,672723,284298,401788,122522
1978:Q4,3293544,1128011,708641,311305,1187814,769608,682118,295601,435869,132210
1979:Q1,3383292,1170217,740030,322611,1224876,793376,685071,303128,444461,134927
1979:Q2,3484724,1211369,766252,333789,1269922,815006,693719,309714,476182,138641
1979:Q3,3599118,1255569,795664,345271,1312240,837024,714755,316554,498967,149584
1979:Q4,3692020,1296896,826724,354616,1346999,854983,725909,322216,533822,155569
1980:Q1,3792721,1338608,860063,359093,1386800,876745,739509,327804,548651,158948
1980:Q2,3859837,1352030,875720,352773,1407447,883840,767360,333000,566063,165421
1980:Q3,3945930,1381252,900209,354263,1434561,895758,791355,338762,581797,169808
1980:Q4,4054534,1420187,926526,358044,1477729,922668,812184,344434,615271,175821
1981:Q1,4148097,1442338,944614,363365,1512102,938294,842366,351291,616723,182695
1981:Q2,4260780,1474872,966081,369096,1569321,979539,860707,355880,653857,190189
1981:Q3,4360408,1498878,980800,376062,1620679,1017418,876789,364062,691212,193836
1981:Q4,4467729,1526550,998261,377882,1661467,1041690,907658,372054,717712,222513
1982:Q1,4572815,1545004,1012723,383538,1703122,1070947,941829,382860,724939,233541
1982:Q2,4674532,1564464,1021850,388711,1749244,1101141,967057,393767,765686,245989
1982:Q3,4787845,1567289,1017038,391153,1792976,1127931,1024123,403457,781265,253667
1982:Q4,4903404,1597887,1031175,396718,1810714,1133059,1081029,413774,817162,267243
1983:Q1,5040049,1608036,1033170,402687,1861182,1164623,1146269,424562,819952,270981
1983:Q2,5199459,1652377,1057024,412172,1899544,1188302,1207253,440285,851396,278198
1983:Q3,5358194,1700844,1085787,425395,1948776,1220561,1258653,449921,881529,291000
1983:Q4,5500650,1759572,1116384,444878,1999189,1250208,1280780,461109,924353,265006
1984:Q1,5704968,1813139,1153101,464733,2074998,1298723,1344109,472722,940155,275194
1984:Q2,5909233,1870217,1182190,489551,2162725,1356793,1389644,486647,987151,291025
1984:Q3,6111019,1915438,1210049,507427,2239815,1404956,1450932,504834,1032423,290972
1984:Q4,6313465,1977628,1243294,526584,2325746,1463098,1496457,513634,1094786,287264
1985:Q1,6568545,2078562,1316829,551452,2383257,1494790,1567286,539440,1120588,286703
1985:Q2,6788255,2142766,1348447,571290,2449465,1534691,1628224,567800,1180118,287332
1985:Q3,7008169,2223574,1402267,592622,2506237,1578047,1688195,590163,1244709,287772
1985:Q4,7347807,2329728,1450249,610574,2578134,1645087,1762014,677931,1328602,290064
1986:Q1,7519478,2383822,1489804,624425,2642710,1689873,1811367,681579,1383438,298744
1986:Q2,7754149,2436276,1529839,641290,2716315,1744364,1885675,715883,1470167,297840
1986:Q3,7985000,2514104,1589114,657442,2792785,1804994,1949671,728439,1556631,304287
1986:Q4,8227080,2592227,1649024,666355,2875176,1874981,2007547,752130,1668311,300178
1987:Q1,8394174,2626546,1694524,662981,2938650,1919804,2044222,784756,1737711,304492
1987:Q2,8601877,2706761,1757670,674860,2992100,1961383,2101468,801548,1827174,299203
1987:Q3,8787474,2774485,1804085,688353,3058948,2014689,2132373,821668,1898408,300605
1987:Q4,8979424,2818757,1829012,698640,3136377,2071514,2181714,842576,1936673,310447
1988:Q1,9186530,2894766,1887976,713264,3207540,2121675,2231681,852543,1972545,312988
1988:Q2,9396191,2967780,1946178,725994,3286179,2177150,2277616,864616,2043826,313872
1988:Q3,9591705,3038213,1999611,735994,3352218,2218832,2324952,876322,2096129,312074
1988:Q4,9803715,3102094,2055294,745206,3439017,2289761,2369615,892989,2181135,351879
1989:Q1,9992252,3167159,2092542,773653,3507107,2344386,2417116,900870,2282698,353817
1989:Q2,10184960,3242022,2143831,787208,3579132,2403862,2454316,909489,2336536,346589
1989:Q3,10355043,3314099,2205558,796149,3619455,2432749,2500028,921461,2362451,350763
1989:Q4,10556822,3386019,2260581,809285,3679918,2482036,2550522,940363,2433969,354820
1990:Q1,10790967,3479871,2341845,813793,3733671,2529951,2618661,958764,2463754,354298
1990:Q2,10961321,3541854,2396456,818310,3768624,2566834,2681731,969112,2512543,363510
1990:Q3,11117486,3593752,2444404,826225,3794780,2593251,2753929,975024,2558375,368288
1990:Q4,11276267,3646226,2489811,824391,3811851,2613894,2830770,987420,2647008,368739
1991:Q1,11380446,3702064,2539212,824860,3789538,2595758,2889145,999699,2671252,381159
1991:Q2,11524246,3758136,2594630,822851,3789528,2595741,2961398,1015185,2704447,365330
1991:Q3,11650625,3788995,2614925,818093,3758457,2581306,3062723,1040450,2753596,370281
1991:Q4,11807376,3855229,2667879,815581,3726189,2556445,3147363,1078595,2828343,375474
1992:Q1,11952922,3907014,2717076,817269,3729586,2564391,3238034,1078287,2875040,377861
1992:Q2,12079007,3944262,2745769,815377,3722175,2564496,3328872,1083699,2954449,390516
1992:Q3,12242521,3996742,2791932,818575,3724301,2575092,3423745,1097733,3022395,393123
1992:Q4,12360072,4056076,2840902,824769,3717770,2574349,3491131,1095095,3075069,395548
1993:Q1,12494719,4098211,2865467,832774,3735137,2601185,3550017,1111355,3155622,405933
1993:Q2,12700340,4159159,2915005,843397,3768808,2638700,3641160,1131213,3223306,420295
1993:Q3,12897189,4230310,2957538,860654,3805889,2681076,3709639,1151351,3336652,446349
1993:Q4,13088474,4305539,2999676,886169,3845562,2722097,3784333,1153040,3432230,484808
1994:Q1,13245110,4377940,3042085,912689,3909260,2784416,3809948,1147963,3579923,458983
1994:Q2,13424819,4456482,3082411,946409,3959096,2830783,3879588,1129654,3670341,457055
1994:Q3,13601470,4528342,3118955,980405,4014239,2879972,3930823,1128066,3768052,459425
1994:Q4,13784512,4630251,3166443,1021168,4068940,2930133,3977825,1107497,3900378,473421
1995:Q1,13949821,4703847,3204269,1058385,4139212,2988772,4014760,1092002,3987462,489516
1995:Q2,14195601,4786121,3245219,1095019,4214326,3054811,4117882,1077272,4092574,505195
1995:Q3,14355313,4879834,3286334,1133141,4262664,3089683,4149242,1063573,4213372,527278
1995:Q4,14478695,4953383,3320508,1168160,4326587,3141422,4151993,1046732,4367231,602524
1996:Q1,14706323,5075518,3397073,1197356,4374163,3172844,4215265,1041378,4481944,616070
1996:Q2,14935565,5166158,3449816,1224879,4451640,3232368,4279858,1037909,4635696,627506
1996:Q3,15111198,5236811,3490823,1247457,4517724,3277778,4327646,1029017,4737303,658966
1996:Q4,15246647,5316548,3538631,1273878,4560827,3302601,4343083,1026189,4930615,689142
1997:Q1,15446322,5396632,3590815,1284329,4648465,3366650,4369736,1031489,5007720,698860
1997:Q2,15661368,5478883,3636213,1302783,4747584,3441516,4395842,1039059,5189644,718742
1997:Q3,15926758,5576473,3707975,1321301,4877062,3544382,4415850,1057373,5288889,747615
1997:Q4,16126109,5656357,3746359,1344165,4986314,3623538,4406492,1076946,5476183,763591
1998:Q1,16409778,5765425,3826390,1352528,5144116,3738256,4407670,1092568,5716063,790546
1998:Q2,16757368,5888736,3893243,1393784,5322900,3868851,4435299,1110433,5986296,813653
1998:Q3,16981872,5978993,3953380,1417348,5471143,3971835,4405501,1126235,6251273,808882
1998:Q4,17265697,6110785,4048590,1441272,5616073,4070608,4395086,1143753,6507468,805954
1999:Q1,17576167,6252005,4153250,1471714,5784667,4191034,4380185,1159310,6794482,809850
1999:Q2,17827464,6394032,4237784,1500711,5890002,4259532,4378872,1164558,7060910,807293
1999:Q3,18163452,6531314,4339892,1533015,6096847,4412802,4356927,1178363,7342547,824352
1999:Q4,18446884,6680932,4424263,1553622,6219943,4477209,4365000,1181009,7609471,776679
2000:Q1,18734264,6845476,4513835,1584412,6388303,4598224,4314730,1185755,7831266,799299
2000:Q2,18925289,6973631,4609398,1632955,6557822,4707875,4214690,1179146,8044155,785176
2000:Q3,19130590,7140397,4708939,1692853,6656372,4767905,4143885,1189936,8227326,809374
2000:Q4,19302982,7248274,4805227,1741267,6766791,4828149,4090025,1197892,8489992,837115
2001:Q1,19534755,7370387,4918586,1784759,6811906,4833084,4122911,1229551,8692613,848378
2001:Q2,19769925,7552452,5061833,1816504,6938836,4917015,4030300,1248336,8917343,836816
2001:Q3,20172231,7794106,5204307,1838308,7010393,4951084,4096886,1270846,9273019,811537
2001:Q4,20412347,7891964,5311785,1891827,7071795,4969379,4145237,1303350,9496603,829453
2002:Q1,20696900,8083849,5475220,1918895,7127243,4984812,4156460,1329349,9677167,848598
2002:Q2,21023376,8233783,5618341,1951616,7164777,4982733,4260360,1364455,9847067,870559
2002:Q3,21393965,8435811,5805268,1975317,7198987,4978380,4357679,1401488,10044556,873275
2002:Q4,21789992,8668354,6016313,1997008,7246410,4986640,4427328,1447900,10315851,954426
2003:Q1,22107129,8893590,6191631,2026273,7265529,4984912,4473103,1474906,10645382,932027
2003:Q2,22694538,9251901,6423524,2058502,7285089,4987812,4638594,1518954,10965620,952417
2003:Q3,23126532,9488995,6661501,2082493,7342179,5027799,4752624,1542735,11224935,923746
2003:Q4,23522620,9749490,6895613,2102932,7356660,5022088,4848035,1568435,11351666,1155574
2004:Q1,24744944,9987215,7078004,2135867,7501354,5096926,4912016,2344359,11591098,1183230
2004:Q2,25338916,10281507,7330371,2154712,7574648,5110641,5081330,2401431,11825185,1175948
2004:Q3,25859836,10534163,7569690,2187446,7701784,5175905,5173475,2450415,12062952,1220916
2004:Q4,26459187,10880764,7840578,2220119,7841787,5253254,5250883,2485753,12394363,1280939
2005:Q1,26998328,11119406,8059916,2248511,7989183,5321970,5352908,2536830,12629543,1295953
2005:Q2,27615196,11439906,8339405,2276583,8147315,5395403,5446929,2581046,12940057,1327424
2005:Q3,28155479,11756861,8617805,2300822,8273202,5434594,5502074,2623342,13017436,1347373
2005:Q4,28751682,12053735,8902867,2320555,8462682,5535598,5584775,2650490,13445268,1343414
2006:Q1,29477381,12451077,9195169,2385808,8683841,5653675,5690834,2651628,13801420,1368520
2006:Q2,30163358,12806916,9505624,2395813,8897896,5762411,5769608,2688938,14221558,1445227
2006:Q3,30638153,13092449,9737876,2426814,9045221,5806505,5773590,2726892,14471677,1546769
2006:Q4,31209542,13347458,9899344,2456716,9291040,5948638,5803923,2767121,14865219,1648837
2007:Q1,31840488,13550097,10078050,2484433,9540158,6080620,5925487,2824745,15436162,1702912
2007:Q2,32531470,13857358,10290394,2519121,9852990,6278179,5939237,2881885,15894665,1802099
2007:Q3,33143634,14059758,10469719,2566995,10174531,6483990,5994294,2915051,16530693,1900734
2007:Q4,33708513,14243362,10577134,2609477,10448357,6641507,6074315,2942479,16994787,1980191
2008:Q1,34280388,14411736,10648327,2645604,10659691,6766581,6243059,2965901,17377278,1990857
2008:Q2,34541110,14362590,10644878,2662410,10865717,6885564,6327804,2984999,17572958,1918702
2008:Q3,35291668,14471160,10624272,2657388,11008104,6956773,6821396,2991008,17865580,1677849
2008:Q4,35567817,14163410,10540066,2643789,11044300,6918920,7376817,2983290,17636233,1585221
2009:Q1,35891742,14109472,10546791,2622827,10976020,6863232,7787502,3018748,17125674,1599413
2009:Q2,36277136,14084139,10522713,2591475,10879593,6796763,8252399,3061006,16598057,1748304
2009:Q3,36502313,14035645,10454659,2576593,10742662,6693181,8638185,3085821,16178363,1896770
2009:Q4,36547841,14002943,10406753,2555017,10536744,6520502,8882645,3125509,15749491,1992381
2010:Q1,36912008,13950922,10281899,2536551,10509251,6499184,9296065,3155770,15141220,2067612
2010:Q2,37293374,13892611,10221678,2518416,10442718,6440160,9796052,3161992,14893720,2053513
2010:Q3,37668652,13791553,10125250,2522094,10484849,6486294,10217548,3174702,14678115,2230367
2010:Q4,37925849,13770504,9957898,2646811,10405782,6419065,10528562,3221001,14720152,2272750
2011:Q1,38130308,13791288,9927038,2672031,10415538,6444784,10724880,3198602,14653873,2360763
2011:Q2,38420395,13740725,9871631,2693088,10503236,6550924,10999912,3176520,14526784,2501515
2011:Q3,38854770,13688617,9802497,2720060,10582698,6649432,11403487,3179969,14354884,2470346
2011:Q4,39198994,13662149,9754939,2756225,10681307,6760077,11667250,3188288,14170995,2494762
2012:Q1,39620505,13658894,9698250,2791565,10769210,6805415,12002610,3189792,14173954,2476165
2012:Q2,40105235,13624933,9636194,2829849,10883855,6875590,12385649,3210799,13965693,2526474
2012:Q3,40505984,13588484,9560297,2865788,11060467,7010445,12643841,3213192,14077874,2684637
2012:Q4,40853650,13553395,9506994,2912905,11264220,7171680,12847828,3188207,13919417,2798928
2013:Q1,41261979,13584513,9469157,2963146,11332259,7217709,13154773,3190435,13969152,2854676
2013:Q2,41527643,13598326,9432015,3000935,11496015,7354317,13260000,3173303,13940527,2801085
2013:Q3,41873521,13607627,9414874,3045859,11693316,7525637,13414810,3157769,13879713,2880492
2013:Q4,42482992,13765999,9395044,3090468,11827245,7630229,13705127,3184621,14072564,2918906
2014:Q1,42956978,13828856,9372687,3150696,12021473,7757135,13923713,3182936,14068438,3000311
2014:Q2,43345647,13882299,9353133,3209897,12205089,7872096,14090250,3168009,14090258,3193540
2014:Q3,43648395,13823775,9335629,3265100,12404300,8000953,14311438,3108882,14238840,3179817
2014:Q4,44078684,13866175,9341508,3309540,12654437,8175619,14441054,3117018,14324295,3230574
2015:Q1,44424284,13916819,9328394,3360573,12877850,8342709,14495075,3134539,14297868,3239384
2015:Q2,45028535,14025923,9356322,3425240,13158333,8560015,14705362,3138917,14379219,3211787
2015:Q3,45369832,14097539,9375474,3487877,13346667,8683633,14780910,3144715,14437480,3124481
2015:Q4,45885423,14077392,9435806,3400223,13507651,8782273,15165626,3134754,14297680,3122644
2016:Q1,46499174,14174926,9460433,3466199,13795548,8976731,15383416,3145285,14457094,3184267
2016:Q2,47018904,14286960,9498285,3524008,13943570,9027453,15623983,3164391,14565862,3245795
2016:Q3,47553697,14408420,9541356,3586381,14122689,9111240,15849915,3172672,14566669,3260263
2016:Q4,47848450,14486785,9591930,3636436,14184270,9072431,16008291,3169104,14543357,3203800
2017:Q1,48221629,14623821,9664608,3685309,14463715,9238364,15981843,3152250,14604509,3333684
2017:Q2,48809636,14760517,9723502,3729015,14711601,9371210,16188806,3148712,14724303,3440118
2017:Q3,49368967,14864842,9783501,3773281,14916713,9461097,16441784,3145629,14882144,3535162
2017:Q4,50006836,15032493,9852345,3830752,15197565,9623488,16606939,3169839,14840260,3746934
2018:Q1,50718698,15163149,9916561,3876054,15368704,9724564,17037856,3148989,14891616,3823161
2018:Q2,51581510,15269770,9989382,3902512,15816926,10101501,17343877,3150937,14911247,3809765
2018:Q3,52158379,15394944,10063302,3957684,16008865,10218542,17600751,3153818,14982411,3866921
2018:Q4,52691780,15498968,10121618,4007042,16194875,10329034,17865026,3132911,15082853,3905529
2019:Q1,53255153,15601762,10175749,4051967,16440972,10546854,18095814,3116606,15150014,3943603
2019:Q2,53757616,15773722,10254836,4093991,16596468,10673733,18284524,3102902,15282453,4128149
2019:Q3,54620387,15928926,10330392,4146325,16821374,10873450,18760667,3109421,15448236,4188180
2019:Q4,55158684,16079862,10391321,4192191,16905017,10926543,19039898,3133907,15479299,4260739
2020:Q1,56592749,16221053,10462086,4206101,17748974,11686386,19480587,3142134,16630168,4058685
2020:Q2,60425232,16200085,10525951,4137243,18427410,12160352,22627127,3170611,16164367,4279687
2020:Q3,61126375,16420845,10663799,4164532,18439619,12056162,23050112,3215800,16162617,4349441
2020:Q4,62002727,16651358,10783193,4184852,18499765,11995696,23621060,3230544,16435196,4523110
2021:Q1,62762824,16896149,10922074,4225453,18718957,12119677,23889967,3257752,16685621,4668401
2021:Q2,64466281,17585089,11379462,4424793,19038054,12375608,24559333,3283805,17320527,4759500
2021:Q3,65024636,17896636,11591920,4482631,19255576,12539433,24564070,3308354,17537126,4956335
2021:Q4,66454787,18235707,11814488,4548524,19612520,12722025,25304484,3302076,17720007,5033339
2022:Q1,67822783,18607685,12074002,4634906,19981279,12948226,25951052,3282766,18290582,4845683
2022:Q2,68892334,18948632,12333957,4735195,20335371,13158395,26311827,3296504,18587363,4681687
2022:Q3,69659656,19237712,12530226,4813736,20541497,13243800,26587119,3293329,18853622,4582387
2022:Q4,70134705,19398137,12654096,4894244,20633060,13203615,26851376,3252132,19318546,4619426
2023:Q1,70785230,19510303,12741205,4944333,20862314,13364079,27150204,3262409,19910384,4681374
2023:Q2,71894455,19655933,12835240,4985392,20942764,13413116,28010299,3285459,19602361,4675392
2023:Q3,72851783,19804389,12949455,4990161,21010807,13451105,28752365,3284221,19485407,4622399
2023:Q4,73699164,19911188,13016830,5024351,21040713,13447805,29471810,3275453,19671104,4800523
2024:Q1,74540634,20060015,13087636,5049503,21251061,13621837,29928791,3300767,19838829,4807277
2024:Q2,75411375,20204877,13195032,5063787,21455190,13782941,30400733,3350575,19777732,4958020
2024:Q3,76310882,20351030,13301507,5094095,21608672,13894534,30965984,3385196,20193816,4909263
2024:Q4,76760335,20240817,13385810,4987881,21528678,13754162,31616718,3374122,20227056,5085808
2025:Q1,77202879,20257003,13462652,4992603,21763954,13950221,31771141,3410781,20534088,5314277
