date,FA216010105.Q,FA216210001.Q,FA216240001.Q,FA216231001.Q,FA216601001.Q,FA216150105.Q,FA216403105.Q,FA216402101.Q,FA216900005.Q,FA216901001.Q,FA216404001.Q,FA216403001.Q,FA216130001.Q,FA216402001.Q,FA216006005.Q,FA216300001.Q,FA215440005.Q,FA216000105.Q,FA215090005.Q,FA215019001.Q,FA215420003.Q,FA215000005.Q,FA214090005.Q,FA213020005.Q,FA213030000.Q,FA213034003.Q,FA212051003.Q,FA214022005.Q,FA213069103.Q,FA213061103.Q,FA213061703.Q,FA213062003.Q,FA213063003.Q,FA214023005.Q,FA213065005.Q,FA213069200.Q,FA213064103.Q,FA213064203.Q,FA213070003.Q,FA213078005.Q,FA213093003.Q,FA214190005.Q,FA213162005.Q,FA213162400.Q,FA213162200.Q,FA213169203.Q,FA213170003.Q,FA223073045.Q,FA217005005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,12484,859,9141,462,155,407,1094,366,11679,9508,1468,0,703,0,805,1571,-236,2612,1342,1629,70,-357,445,875,179,0,0,-757,0,-352,-100,-305,0,25,25,0,0,0,123,0,0,802,69,1,68,-21,146,608,1270
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,14175,997,10442,604,175,430,1191,336,14114,11202,2045,0,867,0,61,1875,-320,2256,2534,2890,90,-446,1811,741,159,0,0,675,0,711,3,-39,0,25,25,0,0,0,211,0,0,2257,1611,199,1412,19,-132,759,-278
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,16345,1140,11898,671,201,469,1692,274,16275,12645,2695,0,935,0,70,2137,-449,2656,3258,4069,116,-927,1514,499,271,0,0,604,0,387,197,20,0,54,54,0,0,0,86,0,0,2441,1334,165,1169,70,143,894,-602
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,18176,1357,13034,605,194,492,2170,324,17675,13988,2657,0,1030,0,501,2176,-547,3224,4354,5397,199,-1242,823,246,152,0,0,379,0,66,0,313,0,81,81,0,0,0,-35,0,0,2065,986,204,782,-85,161,1003,-1130
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,19815,1480,14216,770,223,537,2235,354,19502,15172,3190,0,1140,0,313,2181,-624,3118,2252,5925,269,-3942,1775,469,101,0,0,693,0,509,-100,284,0,52,52,0,0,0,460,0,0,5717,4525,393,4132,67,114,1011,866
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,21825,1680,15555,883,242,662,2403,400,20225,16318,2644,0,1263,0,1600,2621,-651,4872,5336,7038,272,-1974,1582,414,152,0,0,709,0,480,200,29,0,69,69,0,0,0,238,0,0,3556,2115,312,1803,261,86,1094,-464
1952:Q1,22726,1816,16347,844,268,659,2364,428,20904,16749,2828,0,1327,0,1822,2702,-670,5194,370,7349,245,-7224,2548,900,152,0,320,1200,0,1392,-320,128,0,112,112,0,0,0,-272,12,124,9772,8508,328,8180,-180,484,960,4824
1952:Q2,23206,1845,16786,796,272,646,2452,409,21921,17569,2996,0,1356,0,1285,2773,-687,4745,-2741,7351,244,-10336,2220,-596,-308,0,348,2708,0,1840,820,48,0,100,100,0,0,0,-372,-48,388,12556,10500,296,10204,292,504,1260,7486
1952:Q3,23803,1846,17202,792,276,648,2652,387,21668,17387,2892,0,1389,0,2135,2870,-735,5740,7301,7366,252,-317,5588,1300,560,0,2048,604,0,312,260,32,0,104,104,0,0,0,512,-4,464,5905,4220,12,4208,544,480,661,-1561
1952:Q4,24402,1845,17665,872,296,665,2672,387,22139,17776,2936,0,1427,0,2263,2840,-740,5843,1216,7526,267,-6577,144,-312,-64,0,-1728,1176,0,1280,-96,-8,0,96,96,0,0,0,428,80,468,6721,4320,136,4184,632,492,1277,4627
1953:Q1,24383,1911,17962,864,296,719,2211,420,22673,18304,2900,0,1469,0,1710,2901,-676,5287,1931,7801,309,-6179,212,-112,-120,0,36,916,0,1152,-248,12,0,84,84,0,0,0,-120,-8,-464,6391,5776,28,5748,-900,512,1003,3356
1953:Q2,25620,1923,18242,868,300,742,3107,438,22774,18264,3000,0,1510,0,2846,2884,-896,6626,1715,7712,326,-6323,-188,480,60,0,-1024,596,0,648,-172,120,0,84,84,0,0,0,48,4,-436,6135,5284,140,5144,-296,500,647,4911
1953:Q3,25598,1951,18587,844,312,756,2688,460,23274,18641,3080,0,1553,0,2324,2915,-801,6040,8249,8012,337,-100,6192,972,412,0,3260,732,0,504,-8,236,0,80,80,0,0,0,212,-24,548,6292,5016,208,4808,12,524,740,-2209
1953:Q4,25715,1959,18785,660,316,761,2742,492,23276,18771,2908,0,1597,0,2439,2877,-819,6135,2217,8457,344,-6584,360,320,964,0,-2560,1364,0,912,92,360,0,84,84,0,0,0,-124,-184,496,6944,5344,300,5044,-272,536,1336,3918
1954:Q1,26199,2056,18961,720,316,802,2811,533,23792,19154,2996,0,1642,0,2407,2847,-851,6105,3747,8943,316,-5512,920,1280,1040,0,-1564,728,0,240,124,364,0,88,88,0,0,0,-192,60,-520,6432,5528,268,5260,-416,560,760,2358
1954:Q2,26449,2089,19212,740,324,801,2721,562,24366,19632,3044,0,1690,0,2083,2972,-826,5881,2431,9210,337,-7116,-520,-1432,-76,0,864,568,0,256,84,228,0,96,96,0,0,0,24,20,-584,6596,6072,256,5816,-772,572,724,3450
1954:Q3,26933,2109,19500,788,328,802,2826,580,25134,20304,3088,0,1742,0,1799,2981,-843,5623,9677,9492,377,-192,6880,-8,1044,0,4024,924,0,688,128,108,0,92,92,0,0,0,392,48,364,7072,5372,-32,5404,-96,592,1204,-4054
1954:Q4,27378,2114,19855,844,328,807,2822,608,25517,20580,3140,0,1797,0,1861,3044,-840,5745,2562,9532,434,-7404,12,1644,-160,0,-3336,836,0,604,236,-4,0,84,84,0,0,0,476,56,412,7416,5632,-52,5684,-56,596,1244,3183
1955:Q1,28108,2364,20264,936,332,810,2722,680,26380,21324,3200,0,1856,0,1728,3013,-932,5673,3950,9825,540,-6415,1140,-52,-516,0,920,1004,0,756,292,-44,0,68,68,0,0,0,32,92,-408,7555,5472,-76,5548,32,632,1419,1723
1955:Q2,28776,2361,20704,948,336,825,2868,734,26788,21573,3300,0,1915,0,1988,3066,-976,6030,3240,10110,601,-7471,-216,-24,64,0,-1608,1204,0,1080,128,-4,0,56,56,0,0,0,368,12,-288,7255,5144,-56,5200,-36,644,1503,2790
1955:Q3,29614,2408,21313,980,336,847,2967,763,27151,21915,3260,0,1976,0,2463,3235,-1052,6750,12092,10261,647,1184,8080,668,92,0,4544,1172,0,1208,-68,32,0,52,52,0,0,0,832,32,688,6896,4908,112,4796,12,652,1324,-5342
1955:Q4,30214,2423,21875,1008,344,876,2907,781,27665,22380,3248,0,2037,0,2549,3329,-1032,6910,5134,10382,676,-5924,676,-516,108,0,-1660,1324,0,1544,-284,64,0,60,60,0,0,0,708,28,624,6600,4612,132,4480,40,656,1292,1776
1956:Q1,31072,2663,22439,1044,356,937,2866,767,28175,22809,3268,0,2098,0,2897,3464,-1065,7426,6401,11050,671,-5320,756,672,184,0,-632,868,0,1048,-244,64,0,64,64,0,0,0,-124,36,-312,6076,4444,128,4316,28,676,928,1025
1956:Q2,31839,2667,23020,1068,364,970,2984,766,28757,23346,3248,0,2163,0,3082,3580,-1105,7767,4378,11385,681,-7688,-740,244,-212,0,-2252,1416,0,1332,52,32,0,56,56,0,0,0,384,24,-400,6948,4420,140,4280,8,692,1828,3389
1956:Q3,32570,2689,23573,1008,376,999,3160,765,29492,23992,3268,0,2232,0,3078,3698,-1165,7941,12870,11492,686,692,7404,-2496,40,0,7512,1204,0,992,228,-16,0,76,76,0,0,0,428,-60,700,6712,3956,-16,3972,140,696,1920,-4929
1956:Q4,33154,2693,24052,1056,384,1025,3186,758,30267,24577,3384,0,2306,0,2887,3779,-1173,7839,4768,11610,690,-7532,-852,-532,164,0,-2344,1052,0,836,292,-76,0,124,124,0,0,0,368,48,268,6680,3840,124,3716,96,704,2040,3071
1957:Q1,34203,2866,24584,1088,392,1066,3459,748,30852,24994,3476,0,2382,0,3351,3841,-1630,8822,6037,12456,689,-7108,-844,-124,240,0,-696,284,0,116,228,-60,0,164,164,0,0,0,-128,32,-616,6264,3740,88,3652,228,744,1552,2785
1957:Q2,34506,2889,25013,1040,392,1081,3341,750,31703,25704,3548,0,2451,0,2803,3951,-1566,8320,3828,12615,697,-9484,-2708,1848,384,0,-4472,48,0,-44,56,36,0,208,208,0,0,0,-48,-48,-628,6776,4420,112,4308,8,756,1592,4492
1957:Q3,35099,2905,25356,1020,400,1090,3543,785,32594,26434,3648,0,2512,0,2505,3998,-1656,8159,12182,12617,709,-1144,5812,-4424,784,0,8968,-560,0,-556,-164,160,0,228,228,0,0,0,220,-20,616,6956,4532,96,4436,264,764,1396,-4023
1957:Q4,35330,2908,25510,928,404,1094,3713,773,33382,27085,3732,0,2565,0,1948,4006,-1728,7682,4827,12934,725,-8832,-852,260,124,0,-1688,-720,0,-828,-196,304,0,208,208,0,0,0,400,-92,656,7980,5336,404,4932,104,788,1752,2855
1958:Q1,35516,3022,25787,888,392,1161,3511,755,34488,27935,3968,0,2585,0,1028,3976,-2342,7346,4238,13171,756,-9689,-2108,-1528,2108,0,-248,-1208,0,-1336,-176,304,0,208,208,0,0,0,-520,-40,-880,7581,5264,268,4996,204,812,1301,3108
1958:Q2,36301,3028,26135,908,396,1164,3928,742,35437,28764,4020,0,2653,0,864,4078,-2640,7582,3917,13311,771,-10165,-1428,3036,2512,0,-7032,332,0,276,-100,156,0,204,204,0,0,0,280,20,-780,8737,5428,392,5036,148,828,2333,3665
1958:Q3,36958,3077,26739,1032,392,1170,3800,748,36064,29311,4004,0,2749,0,894,4177,-2560,7631,12708,13897,784,-1973,6116,-3244,-752,0,8372,260,0,304,-116,72,0,212,212,0,0,0,668,116,484,8089,5124,152,4972,236,860,1869,-5077
1958:Q4,38679,3128,27425,1188,400,1181,4589,768,36749,29725,4148,0,2876,0,1930,4246,-3135,9311,6240,14356,793,-8909,-88,896,-644,0,-2704,504,0,624,-176,56,0,224,224,0,0,0,616,160,860,8821,5984,848,5136,132,884,1821,3071
1959:Q1,38899,3606,27934,1160,404,1107,3723,965,37558,30172,4336,0,3050,0,1341,4287,-3543,9171,7209,14656,793,-8240,316,4268,-488,0,-4852,776,0,884,-140,32,0,244,244,0,0,0,280,-24,112,8556,5676,416,5260,100,908,1872,1962
1959:Q2,39935,3694,28216,1272,408,1110,4201,1034,37986,30541,4324,0,3121,0,1949,4309,-2896,9154,6538,14414,800,-8676,732,-444,12,0,-816,1320,0,1268,44,8,0,268,268,0,0,0,468,72,-148,9408,5940,708,5232,252,908,2308,2616
1959:Q3,41034,3967,29262,1128,416,1136,4049,1076,38560,30964,4324,0,3272,0,2474,4345,-4082,10901,11112,13996,808,-3692,5648,1488,-1032,0,3992,824,0,840,20,-36,0,264,264,0,0,0,248,-172,36,9340,6680,1168,5512,172,896,1592,-211
1959:Q4,41851,4025,29952,1088,424,1175,4079,1108,39257,31494,4372,0,3391,0,2594,4379,-3375,10348,7849,13278,819,-6248,1980,1372,-132,0,-1688,1644,0,1868,-128,-96,0,244,244,0,0,0,508,-12,44,8228,5072,-680,5752,216,872,2068,2499
1960:Q1,43056,4152,30444,1380,448,1328,4175,1129,40418,32436,4424,0,3558,0,2638,4436,-2766,9840,8731,13534,830,-5633,2804,2160,248,0,-1688,1288,0,1432,-40,-104,0,208,208,0,0,0,344,280,-36,8437,5752,4,5748,152,888,1645,1109
1960:Q2,43985,4212,31219,1264,444,1408,4283,1155,41518,33362,4500,0,3656,0,2467,4493,-3087,10047,7984,13952,849,-6817,1868,-704,1352,0,-616,1532,0,1244,344,-56,0,172,172,0,0,0,244,-136,24,8685,5272,176,5096,392,920,2101,2063
1960:Q3,44489,4264,31825,1204,476,1287,4259,1174,41998,33820,4620,0,3558,0,2491,4557,-3233,10281,12304,14438,875,-3009,6036,920,2132,0,620,1796,0,1056,684,56,0,176,176,0,0,0,360,-96,128,9045,5252,544,4708,316,932,2545,-2023
1960:Q4,45234,4292,32412,1148,476,1269,4443,1194,42764,34537,4700,0,3527,0,2470,4618,-2938,10026,7343,14502,906,-8065,-196,-2428,1780,0,-1324,1120,0,-144,1028,236,0,212,212,0,0,0,408,-52,88,7869,4964,412,4552,-40,940,2005,2683
